No_Encontrado,Not_Found
estructurados,structured
detección de fraudes,fraud detection
map,map
estimador,estimator
estrato,stratum
exactitud,accuracy
índice de masculinidad,masculinity index
ojiva,ogive
suceso imposible,impossible event
acid,acid
rollback,rollback
cassandra,cassandra
cassandra,cassandra
pig latin,pig latin
flink,flink
escalabilidad horizontal,horizontal scalability
zookeeper,zookeeper
ecuacion de bellman,bellman equation
hugging face,hugging face
distribución de datos,data distribution
estandarización,standardization
distribución normal,normal distribution
distribución de poisson,poisson distribution
prueba chi cuadrado,chi square test
transformer,transformer
transformación logarítmica,logarithmic transformation
xgboost,xgboost
catboost,catboost
transformers,transformers
glove,glove
transformer,transformer
kubernetes,kubernetes
señales analógicas,analog signals
arkansas,ar
inteligencia general artificial,artificial general intelligence
recorte,clipping
dinámica,dynamic
codificador,encoder
conjunto,ensemble
característica,feature
gráfico,graph
hashing,hashing
instancia,instance
elementos,items
jax,jax
capa,layer
mano,mmit
modalidad,modality
moe,moe
normalización,normalization
paz,pax
ciclo de vida del producto,plm
cola,queue
trapo,rag
regularización,regularization
premio,reward
ahorrador,saver
casco,shard
disidente,splitter
resumen,summary
parque infantil,tensorflow playground
simbólico,token
unidireccional,unidirectional
instancia,instance
tendencias,tendencies
extracción,extraction
salud,health
índice,index
normalización,normalization
submuestreo,subsamore
normalización,normalization
tokenización,tokenization
clase,class
adaptación,co adaptation
convergencia,convergence
géminis,gemini
objetivo,target
devolver,return
escalar,scalar
objetivo,target
objetivo,target
tasa,rate
one hot encoding,one hot enoding
dispositivo,device
ambiente,environment
generador,generator
encendido,lit
pérdida,loss
práctica,praxis
estático,static
paso,stride
paso,stride
regresion,regression
variedad,variety
