concepto,descripcion
interrupción anticipada,"La circunnavegación de Nueva Zelanda por James Cook con el HMB Endeavour fue la primera circunnavegación documentada de las dos grandes islas de Nueva Zelanda. Tuvo lugar durante el que fue el primero de los tres célebres viajes al océano Pacífico del marino y explorador inglés James Cook, entonces teniente de la Royal Navy al mando del HMB Endeavour. Este primer viaje, que comenzó en agosto de 1768 y finalizó en julio de 1771, es una de las grandes expediciones marítimas de la era moderna y fue organizada por la  Royal Society y la Royal Navy con el apoyo de la corona británica.​ La etapa de Nueva Zelanda y su circunnavegación duró casi 6 meses entre octubre de 1769 y marzo de 1770 y fue uno de los grandes hitos de esta expedición.​"
distancia del movimiento de tierras,"El movimiento ambientalista, también conocido como ambientalismo, movimiento ecologista o movimiento verde, es un conjunto diverso de corrientes de pensamiento y movimientos sociales enfocados en la protección del medio ambiente. Su objetivo principal es fomentar un modelo de vida sostenible mediante la adopción de medidas de conservación, la gestión responsable de los recursos naturales y la promoción de cambios en las políticas públicas y los comportamientos individuales. El movimiento busca mitigar prácticas perjudiciales para el entorno y promover una relación equilibrada entre la sociedad y la naturaleza.​​"
notación einsum,"En matemáticas, especialmente el uso del álgebra lineal en la física matemática y la geometría diferencial, la notación de Einstein (también conocida como la Convención de suma de Einstein o la notación de suma de Einstein) es una convención nota que implica una suma sobre un conjunto de términos indexados en una fórmula, lo que logran la brevedad. Como parte de las matemáticas, es un subconjunto notacional del cálculo de Ricci; Sin embargo, a menudo se usa en aplicaciones físicas que no distinguen entre espacios tangentes y cotangentes. Fue introducido en la física por Albert Einstein en 1916."
capa de incorporación,"Una red neuronal convolucional (CNN) es un tipo regularizado de red neuronal de avance que aprende las características por sí misma a través de la optimización del filtro (o núcleo). Este tipo de red de aprendizaje profundo se ha aplicado para procesar y hacer predicciones de muchos tipos diferentes de datos, incluidos texto, imágenes y audio. Las redes basadas en la convolución son el estándar de facto en enfoques basados ​​en el aprendizaje profundo para la visión por computadora y el procesamiento de imágenes, y solo recientemente han sido reemplazados, en algunos casos, por nuevas arquitecturas de aprendizaje profundo como el transformador. Los gradientes de desaparición y los gradientes explosivos, vistos durante la propagación de retroceso en redes neuronales anteriores, se evitan mediante el uso de pesos regularizados en menos conexiones. Por ejemplo, para cada neurona en la capa totalmente conectada, se requerirían 10,000 pesos para procesar una imagen de 100 × 100 píxeles. Sin embargo, la aplicación de núcleos de convolución en cascada (o correlación cruzada), solo se requieren 25 pesos para cada capa convolucional para procesar los mosaicos de tamaño 5x5. Las características de mayor capa se extraen de ventanas de contexto más amplias, en comparación con las características de la capa inferior."
vector de incorporación,"Las aplicaciones del aprendizaje automático (ML) en las ciencias de la tierra incluyen mapeo geológico, detección de fugas de gas e identificación de características geológicas. El aprendizaje automático es una subdisciplina de inteligencia artificial destinada a desarrollar programas que puedan clasificar, agrupar, identificar y analizar conjuntos de datos vastos y complejos sin la necesidad de una programación explícita para hacerlo. La ciencia de la tierra es el estudio del origen, la evolución y el futuro de la tierra. El sistema de la Tierra se puede subdividir en cuatro componentes principales que incluyen la Tierra Sólida, la atmósfera, la hidrosfera y la biosfera."
ensamble,"En estadísticas y aprendizaje automático, los métodos de conjunto utilizan múltiples algoritmos de aprendizaje para obtener un mejor rendimiento predictivo de lo que podría obtenerse de cualquiera de los algoritmos de aprendizaje constituyentes solo. A diferencia de un conjunto estadístico en un conjunto estadístico en la mecánica estadística, que generalmente es infinita, un conjunto de aprendizaje automático consiste solo en un conjunto concreto de modelos alternativos, pero típicamente permite que existan una estructura mucho más flexible entre las alternativas alternativas."
de producción,"MLOps o ML Ops es un paradigma que tiene como objetivo implementar y mantener modelos de aprendizaje automático en producción de manera confiable y eficiente.​ La palabra es una combinación de ""aprendizaje automático"" (en inglés machine learning)  y la práctica de entrega continua de DevOps en el campo del software. Los modelos de aprendizaje automático se prueban y desarrollan en sistemas experimentales aislados. Cuando un algoritmo está listo para ser lanzado, se practican MLOps entre científicos de datos, DevOps e ingenieros de aprendizaje automático para realizar la transición del algoritmo a los sistemas de producción.​ De manera similar a los enfoques DevOps o DataOps, MLOps busca aumentar la automatización y mejorar la calidad de los modelos de producción, al mismo tiempo que se centra en los requisitos regulatorios y comerciales. "
política de codicia de epsilon,"En la teoría de la probabilidad y el aprendizaje automático, el problema de bandidos múltiples (a veces llamado problema de bandidos de armado K o N) es un problema en el que un tomador de decisiones selecciona iterativamente una de las múltiples opciones fijas (es decir, armas o acciones) cuando las propiedades de cada opción se conocen parcialmente en el momento de la asignación, y puede volverse mejor, mejor se entiende. Un aspecto fundamental de los problemas de bandidos es que elegir un brazo no afecta las propiedades del brazo u otros brazos."
probabilidades iguales,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados son independientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él (p.e.: género, etnia, orientación sexual, etc.)."
evals,"La evaluación de un clasificador binario generalmente asigna un valor numérico, o valores, a un clasificador que representa su precisión. Un ejemplo es la tasa de error, que mide la frecuencia con la que el clasificador comete un error."
repetición de la experiencia,"El aprendizaje de refuerzo profundo o Deep reinforcement learning (DRL) es un subcampo del aprendizaje automático que combina el aprendizaje reforzado con el aprendizaje profundo.​ El aprendizaje reforzado considera el problema de un agente computacional aprendiendo a tomar decisiones por un método de prueba y error. El aprendizaje de refuerzo profundo incorpora el aprendizaje profundo a la solución, permitiendo que dichos agentes puedan tomar decisiones con datos de entrada no estructurados sin ingeniería manual del espacio de estados. Los algoritmos que se usan en el DRL son capaces de coger entradas muy amplias (por ejemplo, cada píxel de la pantalla de un videojuego) y decidir qué acciones realizar para optimizar un objetivo (por ejemplo, maximizar la puntuación del juego). El DRL se ha usado para diversas aplicaciones, incluyendo robótica, videojuegos,​ procesamiento del lenguaje natural, visión artificial, educación, transporte, finanzas y salud, entre otros. "
problema de gradiente explosivo,"En aprendizaje de máquinas, el problema de desvanecimiento de gradiente es una dificultad encontrada para entrenar redes neuronales artificiales mediante métodos de aprendizaje basados en descenso estocástico de gradientes y de retropropagación. En tales métodos, cada uno de los pesos de la red neuronal recibe una actualización proporcional a la derivada parcial de la función de error con respecto al peso actual en cada iteración de entrenamiento."
restricción de equidad,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados son independientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él (p.e.: género, etnia, orientación sexual, etc.)."
métrica de equidad,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados son independientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él (p.e.: género, etnia, orientación sexual, etc.)."
tasa de falsos positivos,"Dado un estimador para una variable estadística discreta binaria se definen dos valores asociados importantes: Sensibilidad y especificidad. Por ejemplo, dado un test estimador que clasifica la población en personas sanas y enfermas, tendremos:"
función,"El aprendizaje automático (ML) es un campo de estudio en inteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sin instrucciones explícitas. Dentro de una subdisciplina en el aprendizaje automático, los avances en el campo del aprendizaje profundo han permitido que las redes neuronales, una clase de algoritmos estadísticos, superen muchos enfoques de aprendizaje automático previos en el rendimiento."
combinación de atributos,"En el aprendizaje automático (AA) y el reconocimiento de patrones, un atributo es una propiedad individual medible o característica de un fenómeno.​ Elegir atributos informativos, discriminatorios e independientes es un elemento crucial de los algoritmos efectivos en el reconocimiento de patrones, clasificación y regresión. Los atributos suelen ser numéricos, pero los atributos estructurales, como cadenas y gráficos, se utilizan en el reconocimiento de patrones sintácticos. El concepto de ‘atributo’ está relacionado con el de variable explicativa utilizado en técnicas estadísticas como la regresión lineal ."
ingeniería de atributos.,"La ingeniería de características es un paso de preprocesamiento en el aprendizaje automático supervisado y el modelado estadístico que transforma los datos sin procesar en un conjunto más efectivo de entradas. Cada entrada comprende varios atributos, conocidos como características. Al proporcionar a los modelos información relevante, la ingeniería de características mejora significativamente su precisión predictiva y capacidad de toma de decisiones."
extracción de atributos,"En el aprendizaje automático, la selección de características es el proceso de seleccionar un subconjunto de características relevantes (variables, predictores) para su uso en la construcción del modelo. Las técnicas de selección de características se utilizan por varias razones:"
importancias de los atributos,"La creación de atributos, ingeniería de atributos, extracción de atributos o descubrimiento de atributos es el proceso de utilizar el conocimiento del dominio para extraer atributos (rasgos, propiedades, atributos) de los datos brutos.​ La motivación es utilizar estos atributos adicionales para mejorar la calidad de los resultados de un proceso de aprendizaje automático, en comparación con el suministro de sólo los datos brutos al proceso de aprendizaje automático."
conjunto de atributos,"En el aprendizaje automático (AA) y el reconocimiento de patrones, un atributo es una propiedad individual medible o característica de un fenómeno.​ Elegir atributos informativos, discriminatorios e independientes es un elemento crucial de los algoritmos efectivos en el reconocimiento de patrones, clasificación y regresión. Los atributos suelen ser numéricos, pero los atributos estructurales, como cadenas y gráficos, se utilizan en el reconocimiento de patrones sintácticos. El concepto de ‘atributo’ está relacionado con el de variable explicativa utilizado en técnicas estadísticas como la regresión lineal ."
especificación de atributos,"En minería de datos y aprendizaje automático, las reglas de asociación se utilizan para descubrir hechos que ocurren en común dentro de un determinado conjunto de datos.​ Se han investigado ampliamente diversos métodos para aprendizaje de reglas de asociación que han resultado ser muy interesantes para descubrir relaciones entre variables en grandes conjuntos de datos."
vector de atributos,"En el aprendizaje automático y el reconocimiento de patrones, una característica es una propiedad individual medible o característica de un conjunto de datos. Elegir características informativas, discriminatorias e independientes es crucial para producir algoritmos efectivos para las tareas de reconocimiento, clasificación y regresión de patrones. Las características suelen ser numéricas, pero otros tipos, como cadenas y gráficos, se usan en el reconocimiento de patrones sintácticos, después de algún paso de preprocesamiento, como la codificación única. El concepto de ""características"" está relacionado con el de las variables explicativas utilizadas en técnicas estadísticas como la regresión lineal."
transformación de atributos,"La creación de atributos, ingeniería de atributos, extracción de atributos o descubrimiento de atributos es el proceso de utilizar el conocimiento del dominio para extraer atributos (rasgos, propiedades, atributos) de los datos brutos.​ La motivación es utilizar estos atributos adicionales para mejorar la calidad de los resultados de un proceso de aprendizaje automático, en comparación con el suministro de sólo los datos brutos al proceso de aprendizaje automático."
ciclo de retroalimentación,"MLOps o ML Ops es un paradigma que tiene como objetivo implementar y mantener modelos de aprendizaje automático en producción de manera confiable y eficiente.​ La palabra es una combinación de ""aprendizaje automático"" (en inglés machine learning)  y la práctica de entrega continua de DevOps en el campo del software. Los modelos de aprendizaje automático se prueban y desarrollan en sistemas experimentales aislados. Cuando un algoritmo está listo para ser lanzado, se practican MLOps entre científicos de datos, DevOps e ingenieros de aprendizaje automático para realizar la transición del algoritmo a los sistemas de producción.​ De manera similar a los enfoques DevOps o DataOps, MLOps busca aumentar la automatización y mejorar la calidad de los modelos de producción, al mismo tiempo que se centra en los requisitos regulatorios y comerciales. "
aprendizaje en pocos intentos,"Varias técnicas de inteligencia artificial han sido utilizadas en los videojuegos, de muchas maneras, que van desde el control de personajes no jugadores (NPC) hasta la generación de contenido procesal (PCG). El aprendizaje automático es un subconjunto de la inteligencia artificial que se centra en el uso de algoritmos y modelos estadísticos para hacer que las máquinas actúen sin una programación específica. Esto contrasta en gran medida con métodos tradicionales de inteligencia artificial como árboles de búsqueda y sistemas expertos."
instrucción con varios ejemplos,La ingeniería de instrucción (Prompt engineering) es el proceso de estructurar un texto que puede ser interpretado y comprendido mediante un modelo de inteligencia artificial generativa. ​ ​ Un prompt es un texto en lenguaje natural que describe la tarea que debe realizar una IA. ​​
puerta de olvido,"La memoria larga a corto plazo, (en inglés, long short-term memory o LSTM) es una arquitectura de red neuronal recurrente (RNN) desarrollada para abordar el problema de desvanecimiento de gradiente,​ que afecta la capacidad de las RNN tradicionales para aprender dependencias a largo plazo en secuencias de datos. A diferencia de otros modelos como los modelos ocultos de Markov, los LSTM pueden retener información durante miles de pasos temporales, lo que los convierte en una herramienta eficaz para procesar datos secuenciales.​"
fracción de éxitos,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados son independientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él (p.e.: género, etnia, orientación sexual, etc.)."
softmax completo,"La función Softmax, también conocida como SoftargMax: 184 o función exponencial normalizada,: 198 convierte un vector de k números reales en una distribución de probabilidad de k posibles resultados. Es una generalización de la función logística a múltiples dimensiones, y se usa en regresión logística multinomial. La función Softmax a menudo se usa como la última función de activación de una red neuronal para normalizar la salida de una red a una distribución de probabilidad sobre las clases de salida predichas."
capa completamente conectada,"Una capa en un modelo de aprendizaje profundo es una estructura o topología de red en la arquitectura del modelo, que toma información de las capas anteriores y luego la pasa a la siguiente capa."
transformación de funciones,"El aprendizaje profundo (en inglés, deep learning) es una rama del aprendizaje automático que se basa en el uso de algoritmos para modelar y comprender datos complejos. Estos algoritmos se inspiran en la estructura y función del cerebro humano, utilizando múltiples capas de procesamiento para extraer y transformar información de manera iterativa. El objetivo es crear modelos que puedan aprender representaciones abstractas de los datos, lo que les permite realizar tareas como el reconocimiento de patrones, la clasificación y la predicción con alta precisión.​"
gan,"Una red adversaria generativa (GaN) es una clase de marcos de aprendizaje automático y un marco destacado para abordar la inteligencia artificial generativa. El concepto fue desarrollado inicialmente por Ian Goodfellow y sus colegas en junio de 2014. En un GaN, dos redes neuronales concursan entre sí en forma de un juego de suma cero, donde la ganancia de un agente es la pérdida de otro agente."
gemini,"Gemini (anteriormente conocido como Bard) es una familia de modelos de idiomas grandes multimodales desarrollados por Google Deepmind, que sirve como sucesor de Lamda y Palm 2. Compuesto por Gemini Ultra, Gemini Pro, Gemini Flash y Gemini Nano, se anunció el 6 de diciembre de 2023, posicionado como un competidor de OpenAi's GPT-4. Fuelve el chatbot del mismo nombre."
modelos de gemini,"Gemini (anteriormente conocido como Bard) es una familia de modelos de idiomas grandes multimodales desarrollados por Google Deepmind, que sirve como sucesor de Lamda y Palm 2. Compuesto por Gemini Ultra, Gemini Pro, Gemini Flash y Gemini Nano, se anunció el 6 de diciembre de 2023, posicionado como un competidor de OpenAi's GPT-4. Fuelve el chatbot del mismo nombre."
curva de generalización,"Para las aplicaciones de aprendizaje supervisado en el aprendizaje automático y la teoría del aprendizaje estadístico, el error de generalización​ (también conocido como error fuera de muestra​ o riesgo) es una medida de la precisión con la que un algoritmo es capaz de predecir resultados para datos nunca antes vistos. Como los algoritmos de aprendizaje se evalúan en muestras finitas, la evaluación de un algoritmo de aprendizaje puede ser sensible al error de muestreo. Como resultado, las mediciones del error de predicción en los datos actuales pueden no proporcionar mucha información sobre la capacidad predictiva del algoritmo en datos nuevos e invisibles. El error de generalización se puede minimizar evitando el sobreajuste en el algoritmo de aprendizaje. El rendimiento de los algoritmos de aprendizaje automático se visualiza comúnmente mediante gráficos de curvas de aprendizaje que muestran estimaciones del error de generalización a lo largo del proceso de aprendizaje."
texto generado,"La inteligencia artificial generativa (IA generativa, Genai o GAI) es un subconjunto de inteligencia artificial que utiliza modelos generativos para producir texto, imágenes, videos u otras formas de datos. Estos modelos aprenden los patrones y estructuras subyacentes de sus datos de entrenamiento y los usan para producir nuevos datos basados ​​en la entrada, que a menudo viene en forma de indicaciones de lenguaje natural."
red generativa adversaria,"Una red adversaria generativa (GaN) es una clase de marcos de aprendizaje automático y un marco destacado para abordar la inteligencia artificial generativa. El concepto fue desarrollado inicialmente por Ian Goodfellow y sus colegas en junio de 2014. En un GaN, dos redes neuronales concursan entre sí en forma de un juego de suma cero, donde la ganancia de un agente es la pérdida de otro agente."
ia generativa,"La inteligencia artificial generativa (IA generativa, Genai o GAI) es un subconjunto de inteligencia artificial que utiliza modelos generativos para producir texto, imágenes, videos u otras formas de datos. Estos modelos aprenden los patrones y estructuras subyacentes de sus datos de entrenamiento y los usan para producir nuevos datos basados ​​en la entrada, que a menudo viene en forma de indicaciones de lenguaje natural."
conjunto de datos de referencia,"En el aprendizaje automático, una tarea común es el estudio y la construcción de algoritmos que puedan aprender de los datos​ y hacer predicciones sobre ellos. Estos algoritmos funcionan haciendo predicciones o tomando decisiones basadas en los datos,​ mediante la construcción de un modelo matemático a partir de los datos de entrada. Estos datos de entrada utilizados para construir el modelo suelen dividirse en varios conjuntos de datos. En concreto, se suelen utilizar tres conjuntos de datos en distintas fases de la creación del modelo: conjuntos de entrenamiento, de validación y de prueba."
respuesta dorada,"En informática, un registro dorado es la versión válida de un elemento de datos (registro) en una sola fuente de sistema de verdad. Puede referirse a una base de datos, tabla específica o campo de datos, o cualquier unidad de información utilizada. Una copia dorada es un conjunto de datos consolidado, y se supone que proporciona una sola fuente de verdad y una ""versión bien definida de todas las entidades de datos en un ecosistema organizacional"". Otros nombres a veces utilizados incluyen fuente maestra o versión maestra."
gpt,"Un transformador generativo previamente capacitado (GPT) es un tipo de modelo de lenguaje grande (LLM) y un marco prominente para la inteligencia artificial generativa. Es una red neuronal artificial que se utiliza en el procesamiento del lenguaje natural por máquinas. Se basa en la arquitectura de aprendizaje profundo del transformador, previamente entrenado en grandes conjuntos de datos de texto no etiquetado y capaz de generar contenido novedoso como humano. A partir de 2023, la mayoría de los LLM tenían estas características y a veces se denominan en general como GPT."
acumulación de gradientes,"La memoria larga a corto plazo, (en inglés, long short-term memory o LSTM) es una arquitectura de red neuronal recurrente (RNN) desarrollada para abordar el problema de desvanecimiento de gradiente,​ que afecta la capacidad de las RNN tradicionales para aprender dependencias a largo plazo en secuencias de datos. A diferencia de otros modelos como los modelos ocultos de Markov, los LSTM pueden retener información durante miles de pasos temporales, lo que los convierte en una herramienta eficaz para procesar datos secuenciales.​"
árboles  impulsados por gradientes,"Aprendizaje basado en árboles de decisión utiliza un árbol de decisión como un modelo predictivo que mapea observaciones sobre un artículo a conclusiones sobre el valor objetivo del artículo. Es uno de los enfoques de modelado predictivo utilizadas en estadísticas, minería de datos y aprendizaje automático. Los modelos de árbol, donde la variable de destino puede tomar un conjunto finito de valores se denominan árboles de clasificación. En estas estructuras de árbol, las hojas representan etiquetas de clase y las ramas representan las conjunciones de características que conducen a esas etiquetas de clase. Los árboles de decisión, donde la variable de destino puede tomar valores continuos (por lo general números reales) se llaman árboles de regresión. Los árboles de decisión se encuentran entre los algoritmos populares debido a su simplicidad."
recorte de gradientes,"La memoria larga a corto plazo, (en inglés, long short-term memory o LSTM) es una arquitectura de red neuronal recurrente (RNN) desarrollada para abordar el problema de desvanecimiento de gradiente,​ que afecta la capacidad de las RNN tradicionales para aprender dependencias a largo plazo en secuencias de datos. A diferencia de otros modelos como los modelos ocultos de Markov, los LSTM pueden retener información durante miles de pasos temporales, lo que los convierte en una herramienta eficaz para procesar datos secuenciales.​"
descenso de gradientes,El descenso de gradiente es un método para la optimización matemática sin restricciones. Es un algoritmo iterativo de primer orden para minimizar una función multivariada diferenciable.
ejecución de grafos,"El problema del vendedor viajero (problema del vendedor ambulante, problema del agente viajero o problema del viajante, PCP, TSP por sus siglas en inglés, Travelling Salesman Problem) responde a la siguiente pregunta: dada una lista de ciudades y las distancias entre cada par de ellas, ¿cuál es la ruta más corta posible que visita cada ciudad exactamente una vez y al finalizar regresa a la ciudad origen? Este es un problema NP-Hard dentro en la optimización combinatoria, muy importante en investigación operativa y en ciencias de la computación."
política codiciosa,"Un algoritmo codicioso es cualquier algoritmo que siga la heurística de resolución de problemas de hacer la decisión localmente óptima en cada etapa. En muchos problemas, una estrategia codiciosa no produce una solución óptima, pero una heurística codiciosa puede producir soluciones localmente óptimas que se aproximan a una solución globalmente óptima en un tiempo razonable."
agrupamiento en clústeres jerárquico,"En la minería de datos y las estadísticas, la agrupación jerárquica (también llamada análisis de clúster jerárquico o HCA) es un método de análisis de clúster que busca construir una jerarquía de grupos. Las estrategias para la agrupación jerárquica generalmente se dividen en dos categorías:"
ascenso de colinas,"En ciencia de la computación, el algoritmo hill climbing, también llamado algoritmo de Escalada Simple o ascenso de colinas es una técnica de optimización matemática que pertenece a la familia de los algoritmos de búsqueda local. Es un algoritmo iterativo que comienza con una solución arbitraria a un problema, luego intenta encontrar una mejor solución variando incrementalmente un único elemento de la solución. Si el cambio produce una mejor solución, otro cambio incremental se le realiza a la nueva solución, repitiendo este proceso hasta que no se puedan encontrar mejoras. Suele llamarse a esta búsqueda algoritmo voraz local, porque toma un estado vecino ""bueno"" sin pensar en la próxima acción. "
pérdida de bisagra,"En el aprendizaje automático, la pérdida de bisagra es una función de pérdida utilizada para los clasificadores de entrenamiento. La pérdida de bisagra se utiliza para la clasificación de ""margen máximo"", especialmente para las máquinas de vectores de soporte (SVM)."
sesgo histórico,"El sesgo es un peso desproporcionado a favor o en contra de una cosa, persona o grupo en comparación con otra, generalmente de una manera que se considera injusta. "
datos de exclusión,"En el aprendizaje automático, una tarea común es el estudio y la construcción de algoritmos que pueden aprender y hacer predicciones sobre los datos. Dichos algoritmos funcionan haciendo predicciones o decisiones basadas en datos, mediante la construcción de un modelo matemático a partir de datos de entrada. Estos datos de entrada utilizados para construir el modelo generalmente se dividen en múltiples conjuntos de datos. En particular, tres conjuntos de datos se usan comúnmente en diferentes etapas de la creación del modelo: entrenamiento, validación y conjuntos de pruebas."
evaluación humana,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
con interacción humana,"La interacción humana -computadora (HCI) es una investigación en el diseño y el uso de la tecnología informática, que se centra en las interfaces entre las personas (usuarios) y las computadoras. Los investigadores de HCI observan las formas en que los humanos interactúan con las computadoras y las tecnologías de diseño que permiten a los humanos interactuar con las computadoras de manera novedosa. Un dispositivo que permite la interacción entre el ser humano y una computadora se conoce como una ""interfaz humana-computadora""."
i.i.d.,"En la teoría y las estadísticas de la probabilidad, una colección de variables aleatorias es independiente y se distribuye idénticamente (I.I.D., IID o IID) si cada variable aleatoria tiene la misma distribución de probabilidad que las demás y todas son mutuamente independientes. IID se definió por primera vez en estadísticas y encuentra aplicación en muchos campos, como la minería de datos y el procesamiento de señales."
conjunto de datos desequilibrado,"Muchos académicos y formuladores de políticas han señalado que los campos de la ciencia, tecnología, ingeniería y matemáticas (CTIM) se han mantenido predominantemente masculinos con una participación históricamente baja de mujeres desde los orígenes de estos campos durante la la Ilustración. "
imputación,"En estadísticas, la imputación es el proceso de reemplazar los datos faltantes con valores sustituidos. Al sustituir un punto de datos, se conoce como ""imputación de la unidad""; Al sustituir un componente de un punto de datos, se conoce como ""imputación de elementos"". Hay tres problemas principales que causan los datos faltantes: los datos faltantes pueden introducir una cantidad sustancial de sesgo, hacer que el manejo y el análisis de los datos sean más arduos y crear reducciones en la eficiencia. Debido a que los datos faltantes pueden crear problemas para analizar los datos, la imputación se considera una forma de evitar las dificultades involucradas con la eliminación de casos que tienen valores faltantes. Es decir, cuando faltan uno o más valores para un caso, la mayoría de los paquetes estadísticos predeterminados para descartar cualquier caso que tenga un valor faltante, que puede introducir sesgo o afectar la representatividad de los resultados. La imputación conserva todos los casos reemplazando los datos faltantes con un valor estimado basado en otra información disponible. Una vez que se han imputado todos los valores faltantes, el conjunto de datos se puede analizar utilizando técnicas estándar para datos completos. Los científicos han aceptado muchas teorías para dar cuenta de los datos faltantes, pero la mayoría de ellas introducen sesgo.  Algunos de los intentos bien conocidos de lidiar con los datos faltantes incluyen: imputación de cubierta caliente y cubierta de frío; eliminación de listones y por pares; imputación media; factorización de matriz no negativa; imputación de regresión; La última observación llevada hacia adelante; imputación estocástica; e imputación múltiple."
incompatibilidad de métricas de equidad,"En finanzas, un desajuste de activos -responsabilidad ocurre cuando los términos financieros de los activos y pasivos de una institución no se corresponden. Son posibles varios tipos de desajustes. Un desajuste de la responsabilidad del activo presenta un riesgo material en instituciones con una exposición significativa de la deuda, como bancos o gobiernos soberanos. Un desajuste significativo puede conducir a la insolvencia o la iliquidez, lo que puede causar fallas financieras. Dichos riesgos se encontraban entre las principales causas de las crisis económicas, como la crisis de la deuda latinoamericana de los años ochenta, la crisis hipotecaria de alto riesgo de 2007, la crisis de ahorro y préstamo de los Estados Unidos y el colapso de Silicon Valley Bank en 2023."
aprendizaje en contexto,"El aprendizaje automático (ML) es un campo de estudio en inteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sin instrucciones explícitas. Dentro de una subdisciplina en el aprendizaje automático, los avances en el campo del aprendizaje profundo han permitido que las redes neuronales, una clase de algoritmos estadísticos, superen muchos enfoques de aprendizaje automático previos en el rendimiento."
equidad individual,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados son independientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él (p.e.: género, etnia, orientación sexual, etc.)."
ruta de inferencia,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
generador de entradas,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
capa de entrada,"En las redes neuronales artificiales, la atención es una técnica que pretende imitar la atención cognitiva. Este efecto realza algunas partes de los datos de entrada mientras que disminuye otras. La motivación es que la red debe dedicar más atención a las partes importantes de los datos, aunque puedan ser una pequeña porción de una imagen o una frase. El aprendizaje de qué parte de los datos es más importante que otra depende del contexto, y se entrena mediante descenso del gradiente."
condición del conjunto,"Aprendizaje basado en árboles de decisión utiliza un árbol de decisión como un modelo predictivo que mapea observaciones sobre un artículo a conclusiones sobre el valor objetivo del artículo. Es uno de los enfoques de modelado predictivo utilizadas en estadísticas, minería de datos y aprendizaje automático. Los modelos de árbol, donde la variable de destino puede tomar un conjunto finito de valores se denominan árboles de clasificación. En estas estructuras de árbol, las hojas representan etiquetas de clase y las ramas representan las conjunciones de características que conducen a esas etiquetas de clase. Los árboles de decisión, donde la variable de destino puede tomar valores continuos (por lo general números reales) se llaman árboles de regresión. Los árboles de decisión se encuentran entre los algoritmos populares debido a su simplicidad."
acuerdo entre evaluadores,"El Coeficiente kappa de Cohen es una medida estadística que ajusta el efecto del azar en la proporción de la concordancia observada.​ En general se cree que es una medida más robusta que el simple cálculo del porcentaje de concordancia, ya que κ tiene en cuenta el acuerdo que ocurre por azar. Algunos investigadores​ han expresado su preocupación por la tendencia de κ a dar por seguras las frecuencias de las categorías observadas, lo que puede tener el efecto de subestimar el acuerdo para una categoría de uso habitual; por esta razón, κ se considera una medida de acuerdo excesivamente conservadora."
