concepto,descripcion
clasificación de los pgm,"Este artículo abarca la diplomacia global y, más en general, las relaciones mundiales de las grandes potencias, de 1814 a 1919, que enlaza con artículos más detallados. Las relaciones internacionales de los países menores están incluidas en sus propios artículos de historia. Esta era abarca el período entre el final de las guerras napoleónicas y el Congreso de Viena (1814-15), al final de la Primera Guerra Mundial y la Conferencia de Paz de París."
clasificadores probabilísticos,"En teoría de la probabilidad y minería de datos, un clasificador Naive Bayes es un clasificador probabilístico fundamentado en el teorema de Bayes y algunas hipótesis simplificadoras adicionales. Es a causa de estas simplificaciones, que se suelen resumir en la hipótesis de independencia entre las variables predictoras, que recibe el apelativo de naive, es decir, ingenuo."
algoritmos de agrupamiento: k-means,"K-medias es un método de agrupamiento, quetiene como objetivo la partición de un conjunto de n observaciones en  k  grupos en el que cadaobservación pertenece al grupo cuyo valor medio es más cercano. Es un método utilizado en minería de datos."
knn,"El método de los k vecinos más cercanos (en inglés: k-nearest neighbors, abreviado k{displaystyle k}-nn)​ es un método de clasificación supervisada (Aprendizaje, estimación basada en un conjunto de formación y prototipos) que sirve para estimar la función de densidad F(x/Cj){displaystyle F(x/Cj)} de las predictoras x{displaystyle x} por cada clase Cj C_{j}}."
clases de deep learning,"El aprendizaje profundo (en inglés, deep learning) es una rama del aprendizaje automático que se basa en el uso de algoritmos para modelar y comprender datos complejos. Estos algoritmos se inspiran en la estructura y función del cerebro humano, utilizando múltiples capas de procesamiento para extraer y transformar información de manera iterativa. El objetivo es crear modelos que puedan aprender representaciones abstractas de los datos, lo que les permite realizar tareas como el reconocimiento de patrones, la clasificación y la predicción con alta precisión.​"
redes adversarias generativas,"Las redes generativas adversativas (RGAs), también conocidas como GANs en inglés, son una clase de algoritmos de inteligencia artificial que se utilizan en el aprendizaje no supervisado, implementadas por un sistema de dos redes neuronales que compiten mutuamente en una especie de juego de suma cero. Fueron presentadas por Ian Goodfellow et al. en 2014."
reconocimiento de números,"En aprendizaje automático y estadística, la clasificación estadística es el problema de identificar a cuál de un conjunto de categorías (subpoblaciones) pertenece una nueva observación, sobre la base de un conjunto de datos de formación que contiene observaciones (o instancias) cuya categoría de miembros es conocida. Un ejemplo sería asignar a un correo electrónico dado la clasificación de ""spam"" o ""no spam"", o asignar un diagnóstico a un paciente dado según las características observadas del paciente (sexo, género, presión arterial, presencia o ausencia de ciertos síntomas, etc.). La clasificación es un ejemplo reconocimiento de patrones."
análisis de sentimientos,"Análisis de sentimiento (también conocido como minería de opinión) se refiere al uso de procesamiento de lenguaje natural, análisis de texto y lingüística computacional para identificar y extraer información subjetiva de los recursos. Desde el punto de vista de la minería de textos, el análisis de sentimientos es una tarea de clasificación masiva de documentos de manera automática, en función de la connotación positiva o negativa del lenguaje empleado en el documento.​ Es importante mencionar que estos tratamientos generalmente ""se basan en relaciones estadísticas y de asociación, no en análisis lingüístico"".​ "
detección de similaridades,"Un alineamiento de secuencias en bioinformática es una forma de representar y comparar dos o más secuencias o cadenas de ADN, ARN, o estructuras primarias proteicas para resaltar sus zonas de similitud, que podrían indicar relaciones funcionales o evolutivas entre los genes o proteínas consultados. Las secuencias alineadas se escriben con las letras (representando aminoácidos o nucleótidos) en filas de una matriz en las que, si es necesario, se insertan espacios para que las zonas con idéntica o similar estructura se alineen."
conceptos sobre chatbots,"Los bot de charla o bot conversacional (en inglés: chatbot )​ son aplicaciones software que surgen en los años 60, y que simulan mantener una conversación con una persona al proveer respuestas automáticas, las cuales son previamente establecidas por un conjunto de expertos a entradas realizadas por el usuario. Estos bot, también conocidos como sistemas expertos, utilizan el razonamiento basado en casos (CBR: case base reasoning).​ "
ubicación de chatbots,"Un chatbot (originalmente chatterbot) es una aplicación de software o interfaz web diseñada para tener conversaciones textuales o habladas. Los chatbots modernos suelen estar en línea y usar sistemas generativos de inteligencia artificial que son capaces de mantener una conversación con un usuario en lenguaje natural y simular la forma en que un humano se comportaría como un socio de conversación. Tales chatbots a menudo usan el aprendizaje profundo y el procesamiento del lenguaje natural, pero los chatbots más simples han existido durante décadas."
clasificación de chatbots,"Los bot de charla o bot conversacional (en inglés: chatbot )​ son aplicaciones software que surgen en los años 60, y que simulan mantener una conversación con una persona al proveer respuestas automáticas, las cuales son previamente establecidas por un conjunto de expertos a entradas realizadas por el usuario. Estos bot, también conocidos como sistemas expertos, utilizan el razonamiento basado en casos (CBR: case base reasoning).​ "
ibm watson studio,"Watson es un sistema basado en inteligencia artificial capaz de responder a preguntas formuladas en lenguaje natural,​ desarrollado por la empresa estadounidense IBM. Forma parte del proyecto del equipo de investigación DeepQA, liderado por el investigador principal David Ferrucci. Se le asignó este nombre en honor del fundador y primer presidente de IBM, Thomas J. Watson.​​"
google cloud automl,"Estos conjuntos de datos se utilizan en la investigación de aprendizaje automático (ML) y se han citado en revistas académicas revisadas por pares. Los conjuntos de datos son una parte integral del campo del aprendizaje automático. Los principales avances en este campo pueden resultar de los avances en los algoritmos de aprendizaje (como el aprendizaje profundo), el hardware de la computadora y, con menos intuición, la disponibilidad de conjuntos de datos de capacitación de alta calidad. Los conjuntos de datos de entrenamiento etiquetados de alta calidad para algoritmos de aprendizaje automático supervisados ​​y semi-supervisados ​​suelen ser difíciles y costosos de producir debido a la gran cantidad de tiempo necesario para etiquetar los datos. Aunque no necesitan ser etiquetados, los conjuntos de datos de alta calidad para el aprendizaje no supervisado también pueden ser difíciles y costosos de producir."
azure machine learning,"La traducción automática estadística (SMT) es un enfoque de traducción automática donde las traducciones se generan sobre la base de modelos estadísticos cuyos parámetros se derivan del análisis de los corporios de texto bilingües. El enfoque estadístico contrasta con los enfoques basados ​​en reglas para la traducción automática, así como con la traducción automática basada en ejemplo, que reemplazó el enfoque anterior basado en reglas que requería una descripción explícita de cada regla lingüística, que era costosa, y que a menudo no generalizaba a otros idiomas. Desde 2003, el enfoque estadístico en sí ha sido reemplazado gradualmente por la traducción automática neuronal basada en el aprendizaje profundo."
amazon machine learning,"El aprendizaje activo es un caso especial de aprendizaje automático en el que un algoritmo de aprendizaje puede interactuar de manera interactiva con un usuario (u otra fuente de información) para etiquetar nuevos puntos de datos con las salidas deseadas.​​​ En la literatura estadística, a veces también se le llama diseño experimental óptimo.​ La fuente de información también se llama profesor u oráculo."
gpt,"Un transformador generativo previamente capacitado (GPT) es un tipo de modelo de lenguaje grande (LLM) y un marco prominente para la inteligencia artificial generativa. Es una red neuronal artificial que se utiliza en el procesamiento del lenguaje natural por máquinas. Se basa en la arquitectura de aprendizaje profundo del transformador, previamente entrenado en grandes conjuntos de datos de texto no etiquetado y capaz de generar contenido novedoso como humano. A partir de 2023, la mayoría de los LLM tenían estas características y a veces se denominan en general como GPT."
github copilot,"La inteligencia artificial multimodal, también conocida como IA multimodal, es un tipo de inteligencia artificial que puede procesar e integrar datos de diferentes modalidades, como texto, imágenes, audio y video, para obtener una comprensión más completa y contextualizada de una situación.​ La inteligencia artificial multimodal se inspira en la forma en que los humanos usan varios sentidos para percibir e interactuar con el mundo, y ofrece una forma más natural e intuitiva de comunicarse con la tecnología."
lamda,"En lógica matemática, el cálculo lambda es un sistema formal diseñado para investigar la definición de función, la noción de aplicación de funciones y la recursión. Fue introducido por Alonzo Church y Stephen Kleene en la década de 1930 como parte de sus investigaciones sobre los fundamentos de las matemáticas. Church usó el cálculo lambda en 1936 para resolver el Entscheidungsproblem. Puede ser usado para definir de manera limpia y precisa qué es una ""función computable""."
importancia de big data,"La ciencia de datos es un campo académico interdisciplinario que utiliza estadística, computación científica, métodos, matemáticas, procesos, algoritmos y sistemas científicos para obtener (recolectar o extraer), tratar, analizar y presentar informes a partir de datos ruidosos, estructurados y no estructurados.​ La ciencia de datos es multifacética y puede describirse como una ciencia, un paradigma de investigación, un método de investigación, una disciplina, un flujo de trabajo o una profesión.​"
beneficios de big data,"La ciencia de datos es un campo académico interdisciplinario que utiliza estadística, computación científica, métodos, matemáticas, procesos, algoritmos y sistemas científicos para obtener (recolectar o extraer), tratar, analizar y presentar informes a partir de datos ruidosos, estructurados y no estructurados.​ La ciencia de datos es multifacética y puede describirse como una ciencia, un paradigma de investigación, un método de investigación, una disciplina, un flujo de trabajo o una profesión.​"
respuesta en tiempo real,Un modelo probabilístico o estadístico es la forma que pueden tomar un conjunto de datos obtenidos de muestreos de otros datos con comportamiento que se supone aleatorio.
reducción de costos de capital,"La tasa de descuento, tipo de descuento o coste de capital (d) es una aproximación financiera que define el valor presente de una suma futura, desde la perspectiva de un emisor de deuda. Así, si VF es el valor nominal (valor futuro) que espera el receptor de una obligación, con un vencimiento pactado en un lapso de tiempo específico, la tasa de descuento es d y su valor actual es VA; entonces el valor futuro que puede ser reconocido por una persona o entidad tomadora es :"
mejoras en los procesos de negocio,"La Gestión por Procesos (en inglés: business process management o BPM) es una disciplina de gestión compuesta de metodologías y tecnologías. Su objetivo es mejorar el desempeño (eficiencia y eficacia) y la optimización de los procesos de una organización. Esto se hace a través de la gestión de los procesos que se deben diseñar, modelar, organizar, documentar y optimizar de forma continua.​ Por lo tanto, puede ser descrito como un proceso de mejora continua de procesos. "
características que se suman para formar las 5v,"En estadística, un parámetro es el número que resume la gran cantidad de datos que pueden derivarse del estudio de una variable estadística.​ El cálculo de este número está bien definido, usualmente mediante una fórmula aritmética obtenida a partir de datos de la población.​​"
clasificación de big data,"La ciencia de datos es un campo académico interdisciplinario que utiliza estadística, computación científica, métodos, matemáticas, procesos, algoritmos y sistemas científicos para obtener (recolectar o extraer), tratar, analizar y presentar informes a partir de datos ruidosos, estructurados y no estructurados.​ La ciencia de datos es multifacética y puede describirse como una ciencia, un paradigma de investigación, un método de investigación, una disciplina, un flujo de trabajo o una profesión.​"
tipos de datos en reposo,"En estadística, la desviación típica (también conocida como desviación estándar y desvío típico) y representada de manera abreviada por la letra griega minúscula sigma σ o la letra latina s, así como por las siglas SD es una medida que se utiliza para cuantificar la variación o la dispersión de un conjunto de datos numéricos.​ "
tipos de datos en movimiento,"La estadística direccional (también estadística circular o estadística esférica) es la subdisciplina de la estadística que se ocupa de las direcciones (los vectores unitarios en el espacio euclídeo, Rn ), ejes (rectas desde el origen en Rn) o al movimiento de rotación en Rn. De manera más general, las estadísticas direccionales se ocupan de observaciones sobre variedades de Riemann compactas, incluida la variedad de Stiefel."
representación de datos o almacenamiento,"En el contexto de la informática, un almacén de datos o repositorio de datos (del inglés data warehouse) es una colección de datos orientada a un determinado ámbito (empresa, organización, etc.), integrado, no volátil y variable en el tiempo, que ayuda a la toma de decisiones en la entidad en la que se utiliza. Se usa para realizar informes (reports) y análisis de datos​ y se considera un componente fundamental de la inteligencia empresarial.​ Se trata, sobre todo, de un expediente completo de una organización, más allá de la información transaccional y operacional, almacenado en una base de datos diseñada para favorecer el análisis y la divulgación eficiente de datos (especialmente OLAP, procesamiento analítico en línea). El almacenamiento de los datos no debe usarse con datos de uso actual. Los almacenes de datos contienen a menudo grandes cantidades de información que se subdividen a veces en unidades lógicas más pequeñas dependiendo del subsistema de la entidad del que procedan o para el que sea necesario."
datos de gestión del ciclo de vida,"Un análisis de ciclo de vida (ACV) (life cycle assessment (LCA) en inglés), también conocido como análisis de la cuna a la tumba, balance ambiental, balance ecológico o evaluación del ciclo de vida (ECV), es una herramienta de diseño que investiga y evalúa los impactos ambientales de un producto o servicio durante todas las etapas de su existencia: extracción, producción, distribución, uso y fin de vida (reutilización, reciclaje, valorización y eliminación/disposición de los residuos/desecho)."
mecanismo de análisis,Un modelo probabilístico o estadístico es la forma que pueden tomar un conjunto de datos obtenidos de muestreos de otros datos con comportamiento que se supone aleatorio.
beneficios tangibles,"La inteligencia de decisiones es una disciplina de ingeniería que aumenta la ciencia de datos con la teoría de las ciencias sociales, la teoría de la decisión y la ciencia gerencial. Su aplicación proporciona un marco para las mejores prácticas en la toma de decisiones organizacionales y los procesos para aplicar tecnologías computacionales como aprendizaje automático, procesamiento del lenguaje natural, razonamiento y semántica a escala. La idea básica es que las decisiones se basan en nuestra comprensión de cómo las acciones conducen a los resultados. La inteligencia de la decisión es una disciplina para analizar esta cadena de causa y efecto, y el modelado de decisiones es un lenguaje visual para representar estas cadenas."
beneficios intangibles,"Los activos intangibles son activos que no poseen forma física y que, no obstante, entregan valor,tales como tecnología, software, diseños, patentes, marcas, secretos industriales, competencias de los trabajadores y del equipo directivo, etcétera.​​"
beneficios estratégicos,La planificación estratégica es un proceso sistemático de desarrollo e implementación de planes para alcanzar propósitos u objetivos.  
componentes de inteligencia de negocio,"Se denomina inteligencia empresarial, inteligencia de negocios, inteligencia comercial o BI (del inglés business intelligence), al conjunto de estrategias, aplicaciones, datos, productos, tecnologías y arquitectura técnicas, los cuales están enfocados a la administración y creación de conocimiento sobre el medio, a través del análisis de los datos existentes en una organización o empresa.​​"
de información sql o nosql,"En informática, NoSQL (a veces llamado ""no solo SQL"") es una amplia clase de sistemas de gestión de bases de datos que difieren del modelo clásico de SGBDR (Sistema de Gestión de Bases de Datos Relacionales) en aspectos importantes, siendo el más destacado que no usan SQL como lenguaje principal de consultas. Los datos almacenados no requieren estructuras fijas como tablas, normalmente no soportan operaciones JOIN, ni garantizan completamente ACID (atomicidad, consistencia, aislamiento y durabilidad) y habitualmente escalan bien horizontalmente. Los sistemas NoSQL se denominan a veces ""no solo SQL"" para subrayar el hecho de que también pueden soportar lenguajes de consulta de tipo SQL."
proceso etl,"En el contexto de la informática, un almacén de datos o repositorio de datos (del inglés data warehouse) es una colección de datos orientada a un determinado ámbito (empresa, organización, etc.), integrado, no volátil y variable en el tiempo, que ayuda a la toma de decisiones en la entidad en la que se utiliza. Se usa para realizar informes (reports) y análisis de datos​ y se considera un componente fundamental de la inteligencia empresarial.​ Se trata, sobre todo, de un expediente completo de una organización, más allá de la información transaccional y operacional, almacenado en una base de datos diseñada para favorecer el análisis y la divulgación eficiente de datos (especialmente OLAP, procesamiento analítico en línea). El almacenamiento de los datos no debe usarse con datos de uso actual. Los almacenes de datos contienen a menudo grandes cantidades de información que se subdividen a veces en unidades lógicas más pequeñas dependiendo del subsistema de la entidad del que procedan o para el que sea necesario."
transformación,"Las transformaciones de Box y Cox son una familia de transformaciones potenciales usadas en estadística para corregir sesgos en la distribución de errores, para corregir varianzas desiguales (para diferentes valores de la variable predictora) y principalmente para corregir la no linealidad en la relación (mejorar correlación entre las variables). Esta transformación recibe el nombre de los estadísticos George E. P. Box y David Cox."
carga,"Análisis factorial es una técnica estadística de reducción de datos usada para explicar las correlaciones entre las variables observadas en términos de un número menor de variables no observadas llamadas factores. Las variables observadas se modelan como combinaciones lineales de factores más expresiones de error. El análisis factorial se originó en psicometría, y se usa en las ciencias del comportamiento tales como ciencias sociales, marketing, gestión de productos, investigación operativa, y otras ciencias aplicadas que tratan con grandes cantidades de datos."
data warehouse o almacén de datos,"En el contexto de la informática, un almacén de datos o repositorio de datos (del inglés data warehouse) es una colección de datos orientada a un determinado ámbito (empresa, organización, etc.), integrado, no volátil y variable en el tiempo, que ayuda a la toma de decisiones en la entidad en la que se utiliza. Se usa para realizar informes (reports) y análisis de datos​ y se considera un componente fundamental de la inteligencia empresarial.​ Se trata, sobre todo, de un expediente completo de una organización, más allá de la información transaccional y operacional, almacenado en una base de datos diseñada para favorecer el análisis y la divulgación eficiente de datos (especialmente OLAP, procesamiento analítico en línea). El almacenamiento de los datos no debe usarse con datos de uso actual. Los almacenes de datos contienen a menudo grandes cantidades de información que se subdividen a veces en unidades lógicas más pequeñas dependiendo del subsistema de la entidad del que procedan o para el que sea necesario."
modelo de inteligencia de negocios,"Se denomina inteligencia empresarial, inteligencia de negocios, inteligencia comercial o BI (del inglés business intelligence), al conjunto de estrategias, aplicaciones, datos, productos, tecnologías y arquitectura técnicas, los cuales están enfocados a la administración y creación de conocimiento sobre el medio, a través del análisis de los datos existentes en una organización o empresa.​​"
almacenamiento,El crecimiento exponencial de los volúmenes de datos en todas las industrias exige nuevas tecnologías de almacenamiento. 
registro de datos / minería de datos,"Un repositorio de metadatos es una base de datos creada para almacenar metadatos. Los metadatos son información sobre las estructuras que contienen los datos reales. A menudo se dice que los metadatos son ""datos sobre datos"", pero esto es engañoso. Los perfiles de datos son un ejemplo de ""datos sobre datos"" reales. Los metadatos agregan una capa de abstracción a esta definición: son los datos sobre las estructuras que contienen datos. Los metadatos pueden describir la estructura de cualquier dato, de cualquier sujeto, almacenado en cualquier formato."
analítica descriptiva,"El aprendizaje automático (ML) es un campo de estudio en inteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sin instrucciones explícitas. Dentro de una subdisciplina en el aprendizaje automático, los avances en el campo del aprendizaje profundo han permitido que las redes neuronales, una clase de algoritmos estadísticos, superen muchos enfoques de aprendizaje automático previos en el rendimiento."
progresión en las operaciones,"En estadística, la regresión lineal o ajuste lineal es un modelo matemático usado para aproximar la relación de dependencia entre una variable dependiente Y{displaystyle Y}, m{displaystyle m} variables independientes Xi X_{i}} con m∈Z+ min mathbb {Z} ^{+}} y un término aleatorio ε{displaystyle varepsilon }. Este método es aplicable en muchas situaciones en las que se estudia la relación entre dos o más variables o predecir un comportamiento, algunas incluso sin relación con la tecnología. En caso de que no se pueda aplicar un modelo de regresión a un estudio, se dice que no hay correlación entre las variables estudiadas. Este modelo puede ser expresado como:"
probabilidades bajas de riesgo,"La evaluación probabilística del riesgo (en inglés: probabilistic risk assessment, PRA) es una metodología sistemática y exhaustiva para evaluar el riesgo asociado a una entidad ingenieril compleja (tal como un avión comercial o una central nuclear)."
nubes privadas,"La computación en la nube (del inglés cloud computing),​ conocida también como servicios en la nube, informática en la nube, nube de cómputo o simplemente «la nube», es el uso de una red de servidores remotos conectados a internet para almacenar, administrar y procesar datos, servidores, bases de datos, redes y software. En lugar de depender de un servicio físico instalado, se tiene acceso a una estructura donde el software y el hardware están virtualmente integrados."
nubes públicas,"Nube pública es un término que hace referencia a una “infraestructura que está disponible para el público en general o para un gran sector de la industria, y es provista por una organización que comercializa servicios a demanda”​"
nubes de comunidad,"En matemáticas aplicadas, el análisis topológico de los datos (en inglés: topological data analysis) (TDA) es un enfoque el análisis de conjuntos de datos que utiliza técnicas de topología. La extracción de información de conjuntos de datos de alta dimensión, incompletos y ruidosos suele ser un desafío, sin embargo, el análisis topológico de los datos proporciona un marco general para analizar dichos datos de una manera que no es sensible a la métrica particular elegida y proporciona reducción de dimensionalidad y robustez al ruido. Más allá de esto, hereda la funtorialidad, un concepto fundamental de las matemáticas modernas, de su naturaleza topológica, lo que le permite adaptarse a nuevas herramientas matemáticas."
herramientas basadas en el procesamiento por lotes,"Se conoce como sistema por lotes (en inglés batch processing), o modo batch, a la ejecución de un programa sin el control o supervisión directa del usuario que se denomina. Este tipo de programas se caracterizan porque su ejecución no precisa ningún tipo de interacción con el usuario."
herramientas basadas en el procesamiento de flujo,"El diagrama de flujo o flujograma o diagrama de actividades es la representación gráfica de un algoritmo o proceso. Se utiliza en disciplinas como programación, economía, procesos industriales y psicología cognitiva."
herramientas de análisis interactivas,"JMP (pronunciado «jump»​) es un conjunto de programas informáticos para el análisis estadístico y el aprendizaje automático desarrollado por JMP, una filial de SAS Institute. El programa se lanzó en 1989 para aprovechar la interfaz gráfica de usuario introducida por los sistemas operativos Macintosh. Desde entonces, se ha reescrito de forma significativa y está disponible para el sistema operativo Windows."
hadoop tolerancia a fallos,"Apache Hadoop es un entorno de trabajo para software, bajo licencia libre, para programar aplicaciones distribuidas que manejen grandes volúmenes de datos (big data).​ Permite a las aplicaciones trabajar con miles de nodos en red y petabytes de datos. Hadoop se inspiró en los documentos de Google sobre MapReduce y Google File System (GFS)."
hadoop distribuido,"Apache Hadoop es un entorno de trabajo para software, bajo licencia libre, para programar aplicaciones distribuidas que manejen grandes volúmenes de datos (big data).​ Permite a las aplicaciones trabajar con miles de nodos en red y petabytes de datos. Hadoop se inspiró en los documentos de Google sobre MapReduce y Google File System (GFS)."
hadoop código abierto,"Apache Hadoop es un entorno de trabajo para software, bajo licencia libre, para programar aplicaciones distribuidas que manejen grandes volúmenes de datos (big data).​ Permite a las aplicaciones trabajar con miles de nodos en red y petabytes de datos. Hadoop se inspiró en los documentos de Google sobre MapReduce y Google File System (GFS)."
hadoop bajo costo,"Apache Hadoop es un entorno de trabajo para software, bajo licencia libre, para programar aplicaciones distribuidas que manejen grandes volúmenes de datos (big data).​ Permite a las aplicaciones trabajar con miles de nodos en red y petabytes de datos. Hadoop se inspiró en los documentos de Google sobre MapReduce y Google File System (GFS)."
componentes que caracteriza a hdfs,"Apache Hadoop ( /Həˈduːp /) es una colección de utilidades de software de código abierto para computación confiable, escalable y distribuida. Proporciona un marco de software para el almacenamiento y procesamiento distribuido de Big Data utilizando el modelo de programación MapReduce. Hadoop fue diseñado originalmente para grupos de computadora construidos a partir de hardware de productos básicos, que sigue siendo el uso común. Desde entonces, también ha encontrado el uso en grupos de hardware de gama alta. Todos los módulos en Hadoop están diseñados con una suposición fundamental de que las fallas de hardware son ocurrencias comunes y deben ser manejadas automáticamente por el marco."
nodo maestro,"Modbus es un protocolo de comunicaciones situado en los niveles 1, 2 y 7 del Modelo OSI, basado en la arquitectura maestro/esclavo (RTU) o cliente/servidor (TCP/IP), diseñado en 1979 por Modicon para su gama de controladores lógicos programables (PLCs). Convertido en un protocolo de comunicaciones estándar de facto en la industria, es el que goza de mayor disponibilidad para la conexión de dispositivos electrónicos industriales.​ "
nodo de datos,"En teoría de probabilidades y en estadística, un modelo en grafo (MG) representa las dependencias entre variables aleatorias como un grafo en el que cada variable aleatoria es un nodo."
mapa reducido,"La escala es la relación de proporción entre las dimensiones reales de un objeto y las del dibujo que lo representa. Por ejemplo, si una escala indica una proporción 1:15 000 significa que un centímetro del mapa representa 15 000 cm en el mundo real."
map,"El mapeo pedométrico o mapeo estadístico del suelo es la generación de mapas de clases y propiedades del suelo basada en datos que se basa en el uso de métodos estadísticos. Cuenta con sus principales objetivos como predecir los valores de alguna variable del suelo en lugares no observables y acceder a la incertidumbre de esa estimación utilizando inferencia estadística, es decir enfoques estadísticamente óptimos. Desde el punto de vista de la aplicación, su principal objetivo es predecir con precisión la respuesta de un ecosistema suelo-planta a varias estrategias de manejo del suelo, es decir generar mapas de las propiedades y clases de suelos que pueden usarse para otros modelos ambientales y decisiones haciendo. Se basa en gran medida en la aplicación geoestadística en la ciencia del suelo y otros métodos estadísticos utilizados en pedometría."
componentes de spark,Un modelo probabilístico o estadístico es la forma que pueden tomar un conjunto de datos obtenidos de muestreos de otros datos con comportamiento que se supone aleatorio.
spark core,"SPARC (del inglés Scalable Processor ARChitecture) es una arquitectura RISC big-endian. Es decir, una arquitectura con un conjunto de instrucciones reducidas."
spark sql,"Apache Spark es un motor de análisis unificado de código abierto para el procesamiento de datos a gran escala. Spark proporciona una interfaz para programar grupos con paralelismo de datos implícitos y tolerancia a fallas. Desarrollado originalmente en la Universidad de California, la Amplab de Berkeley a partir de 2009, en 2013, la base de código Spark fue donada a Apache Software Foundation, que lo ha mantenido desde entonces."
spark streaming,"Databricks es una empresa estadounidense de software empresarial fundada por los creadores de Apache Spark.​ Databricks desarrolla una plataforma basada en web para trabajar con Spark, que proporciona gestión automatizada de clústeres y cuadernos de estilo IPython. La empresa desarrolla Delta Lake, un proyecto de código abierto para aportar fiabilidad a los lagos de datos para el aprendizaje automático y otros casos de uso de la ciencia de datos.​"
spark mlib,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
apache hbase,"HBase es un sistema gestor de base de datos distribuida no relacional de código abierto modelada a partir de Google BigTable y escrita en Java. Su desarrollo forma parte del proyecto Hadoop de la Fundación de Software Apache y se ejecuta sobre HDFS (el sistema de archivos distribuidos de Hadoop), proporcionando capacidades al estilos de BigTable para Hadoop. Es decir, proporciona una forma tolerante de fallos de almacenar grandes cantidades de datos dispersos (pequeñas cantidades de información inmersas dentro de una gran colección de datos inexistentes o poco significativos, tales como la búsqueda de los 50 mayores elementos en un grupo de 2 mil millones de registros, o la búsqueda de elementos distintos de cero que representan menos del 0,1% de una enorme colección). "
afijacion de una muestra,"Un clítico es un elemento gramatical que se escribe como una palabra o partícula átona independiente, pero que en realidad se pronuncia como parte de la palabra anterior o siguiente.​ Muestra un comportamiento intermedio entre el de un morfema ligado y una palabra. En otras palabras, sintácticamente tiene un comportamiento más similar a las palabras, pero fonológicamente no es independiente de otras palabras adyacentes."
afijacion optima de una muestra,El muestreo estratificado es una forma de representación estadística que muestra cómo se comporta una característica o variable en una población a través de hacer evidente el cambio de dicha variable en subpoblaciones o estratos en los que se ha dividido.Consiste en la división previa de la población de estudio en grupos o clases que se suponen homogéneos respecto a característica a estudiar y que no se solapen.
amplitud de un intervalo,"En estadística, se llama intervalo de confianza a un intervalo dentro del cual se estima, con un determinado nivel de confianza, que estará el valor de cierto parámetro poblacional desconocido. Formalmente, los extremos del intervalo, se calculan a partir de los datos de una muestra correspondiente a un estimador del parámetro poblacional.​ El nivel de confianza representa el porcentaje de intervalos que tomados de 100 muestras independientes distintas contienen en realidad el valor desconocido. En estas circunstancias, α{displaystyle alpha } es el llamado error aleatorio o nivel de significancia, esto es, el número de intervalos sobre 100 que no contienen el valor.​"
analisis de correlacion,"El análisis de correlación canónica (canonical-correlation analysis o CCA en inglés) es un método de análisis multivariante desarrollado por Harold Hotelling. Su objetivo es buscar las relaciones que pueda haber entre dos grupos de variables y la validez de las mismas. Se diferencia del análisis de correlación múltiple en que este solo predice una variable dependiente a partir de múltiples independientes, mientras que la correlación canónica predice múltiples variables dependientes a partir de múltiples independientes. La correlación hipercanónica es una correlación lineal y, por tanto, solo busca relaciones lineales entre las variables. En este análisis, entonces, se crean combinaciones lineales de las variables originales, sobre la base de su estructura de correlación. Al diseñar el experimento hay que considerar el tamaño de la muestra ya que son necesarias un mínimo de observaciones por variable, para que el análisis pueda representar las correlaciones adecuadamente. "
base del indice,"En estadística, el término modelo lineal es usado en diferentes maneras de acuerdo al contexto. La manera más frecuente es en conexión con modelos de regresión y el término a menudo se toma como un sinónimo del modelo de regresión lineal. Sin embargo, el término es también usado en análisis de series de tiempo con un significado diferente. En cada caso, la denominación como ""lineal"" es usada para identificar una subclase de modelos para los cuales la reducción en complejidad de la teoría estadística relacionada es posible. "
boxplot,"Un diagrama de caja (también, diagrama de caja y bigotes o box plot) es un método estandarizado para representar gráficamente una serie de datos numéricos a través de sus cuartiles. De esta manera, se muestran a simple vista la mediana y los cuartiles de los datos,​ y también pueden representarse sus valores atípicos. Conviene recordar que se utilizan las bisagras de Tukey, y no los cuartiles, a la hora de dibujar la caja del gráfico, aunque los resultados son semejantes en muestras grandes."
cartogramas,"Un cartograma es un mapa o diagrama que muestra datos de cantidad asociados a sus respectivas áreas, mediante la modificación de los tamaños de las unidades de enumeración. La información es aportada mediante la distorsión de las superficies reales, utilizando cada superficie de enumeración como un símbolo proporcional, el cual aumenta o disminuye en función de los valores correspondientes. Un ejemplo podría ser la representación de los países, donde su tamaño en el diagrama dependiera del número de habitantes.​"
clase mediana,"En el ámbito de la estadística, la mediana (del latín mediānus 'del medio'​) representa el valor de la variable de posición central en un conjunto de datos ordenados. Se le denota mediana."
