concepto,descripcion,concept,source
hashing,"En el aprendizaje automático, un mecanismo para el buceo de datos categóricos, particularmente cuando el número de categorías es grande, pero el número de categorías que realmente aparecen en el conjunto de datos es relativamente pequeño.",hashing,developers.google.com
heurístico,Una solución simple e implementada rápidamente para un problema.,heuristic,developers.google.com
capa oculta,Una capa en una red neuronal entre la capa de entrada (las características) y la capa de salida (la predicción).,hidden layer,developers.google.com
agrupación jerárquica,Una categoría de algoritmos de agrupación que crean un árbol de grupos.,hierarchical clustering,developers.google.com
escalada,"Un algoritmo para mejorar iterativamente (""caminar cuesta arriba"") un modelo ML hasta que el modelo deje de mejorar (""llega a la cima de una colina"").",hill climbing,developers.google.com
pérdida de hinge,"Una familia de pérdidas funciona para la clasificación diseñada para encontrar el límite de decisión lo más distante posible de cada ejemplo de capacitación, maximizando así el margen entre los ejemplos y el límite.",hinge loss,developers.google.com
sesgo histórico,Un tipo de sesgo que ya existe en el mundo y ha llegado a un conjunto de datos.,historical bias,developers.google.com
datos de retención,"Ejemplos intencionalmente no usados ​​(""retenido"") durante el entrenamiento.",holdout data,developers.google.com
anfitrión,"Al entrenar un modelo ML en chips aceleradores (GPU o TPU), la parte del sistema que controla los siguientes: el host generalmente se ejecuta en una CPU, no en un chip de acelerador; El dispositivo manipula los tensores en los chips aceleradores.",host,developers.google.com
evaluación humana,"Un proceso en el que las personas juzgan la calidad de la producción de un modelo ML; Por ejemplo, hacer que las personas bilingües juzguen la calidad de un modelo de traducción de ML.",human evaluation,developers.google.com
hiperparámetro,Las variables que usted o un servicio de ajuste de hiperparameter se ajustan durante las ejecuciones sucesivas de capacitación de un modelo.,hyperparameter,developers.google.com
hiperplano,Un límite que separa un espacio en dos subespacios.,hyperplane,developers.google.com
i.i.d.,Abreviatura de distribuida independiente e idénticamente.,i.i.d.,developers.google.com
reconocimiento de imágenes,"Un proceso que clasifica los objetos, el patrón (s) o el concepto (s) en animage.",image recognition,developers.google.com
conjunto de datos desequilibrado,Sinónimo de conjunto de datos ilusizado con clase.,imbalanced dataset,developers.google.com
sesgo implícito,Hacer automáticamente una asociación o suposición basada en los modelos y recuerdos mentes de uno.,implicit bias,developers.google.com
imputación,Forma corta de imputación de valor.,imputation,developers.google.com
incompatibilidad de las métricas de equidad,La idea de que algunas nociones de justicia son mutuamente incompatibles y no pueden satisfacerse simultáneamente.,incompatibility of fairness metrics,developers.google.com
en el aprendizaje con contexto,Sinónimo de pocos disparos.,in context learning,developers.google.com
distribuido independiente e idénticamente (i.i.d),"Los datos extraídos de una distribución que no cambia, y donde cada valor dibujado no depende de los valores que se han dibujado anteriormente.",independently and identically distributed (i.i.d),developers.google.com
justicia individual,Una métrica de equidad que verifica si individuos similares se clasifican de manera similar.,individual fairness,developers.google.com
inferencia,"En el aprendizaje automático, el proceso de hacer predicciones aplicando un modelo capacitado a ejemplos no etiquetados.",inference,developers.google.com
ruta de inferencia,"En un árbol de decisión, durante la inferencia, la ruta un ejemplo particular toma de la raíz a otras condiciones, que termina con una hoja.",inference path,developers.google.com
ganancia de información,"En los bosques de decisión, la diferencia entre la entropía de un nodo y la suma ponderada (por número de ejemplos) de la entropía de sus nodos infantiles.",information gain,developers.google.com
en el sesgo grupal,Mostrando parcialidad con el propio grupo o características propias.,in group bias,developers.google.com
generador de entrada,Un mecanismo por el cual los datos se cargan en una red neuronal.,input generator,developers.google.com
capa de entrada,La capa de una red neuronal que contiene el vector de características.,input layer,developers.google.com
en condición establecida,"En un árbol de decisión, una condición que prueba la presencia de un elemento en un conjunto de elementos.",in set condition,developers.google.com
instancia,"Sinónimo, por ejemplo.",instance,developers.google.com
ajuste de instrucciones,Una forma de ajuste fino que mejora la capacidad de un modelo de IA generativo para seguir las instrucciones.,instruction tuning,developers.google.com
interpretabilidad,La capacidad de explicar o presentar el razonamiento de un modelo ML en términos comprensibles a un humano.,interpretability,developers.google.com
acuerdo de inter rater,Una medición de la frecuencia con la que los evaluadores humanos están de acuerdo al hacer una tarea.,inter rater agreement,developers.google.com
intersección sobre la unión (iou),La intersección de dos conjuntos divididos por su unión.,intersection over union (iou),developers.google.com
iou,Abreviatura de la intersección sobre la unión.,iou,developers.google.com
matriz de artículos,"En los sistemas de recomendación, una matriz de vectores de incrustación generados por factorización de matriz que contiene señales latentes sobre cada elemento.",item matrix,developers.google.com
elementos,"En un sistema de recomendación, las entidades que recomienda un sistema.",items,developers.google.com
iteración,"Una sola actualización de los parámetros de un modelo, los pesos y los sesgos del modelo, en el entrenamiento.",iteration,developers.google.com
jax,"Una biblioteca de computación de matriz, que reúne XLA (álgebra lineal acelerada) y diferenciación automática para la computación numérica de alto rendimiento.",jax,developers.google.com
keras,Una popular API de aprendizaje automático de Python.,keras,developers.google.com
máquinas de vectores de soporte de kernel (ksvms),Un algoritmo de clasificación que busca maximizar el margen entre las clases positivas y negativas al mapear los vectores de datos de entrada a un espacio dimensional superior.,kernel support vector machines (ksvms),developers.google.com
punto clave,Las coordenadas de características particulares en Animage.,keypoints,developers.google.com
k fold validación cruzada,Un algoritmo para predecir la capacidad de un modelo para generalizar a nuevos datos.,k fold cross validation,developers.google.com
k means,Un algoritmo de agrupación popular que agrupa ejemplos en aprendizaje no supervisado.,k means,developers.google.com
k mediana,Un algoritmo de agrupación estrechamente relacionado con K-means.,k median,developers.google.com
l0 regularización,Un tipo de regularización que penaliza el número total de pesos distintos de cero en un modelo.,l0 regularization,developers.google.com
pérdida de l1,Una función de pérdida que calcula el valor absoluto de la diferencia entre los valores de etiqueta reales y los valores que predice un modelo.,l1 loss,developers.google.com
l1 regularización,Un tipo de regularización que penaliza los pesos en proporción a la suma del valor absoluto de los pesos.,l1 regularization,developers.google.com
pérdida de l2,Una función de pérdida que calcula el cuadrado de la diferencia entre los valores de la etiqueta reales y los valores que predice un modelo.,l2 loss,developers.google.com
regularización de l2,Un tipo de regularización que penaliza los pesos en proporción a la suma de los cuadrados de los pesos.,l2 regularization,developers.google.com
etiqueta,"En el aprendizaje automático supervisado, la parte ""respuesta"" o ""resultado"" de un ejemplo.",label,developers.google.com
ejemplo etiquetado,Un ejemplo que contiene una o más características y una etiqueta.,labeled example,developers.google.com
fuga de etiqueta,Una falla de diseño de modelo en la que una característica es un proxy para la etiqueta.,label leakage,developers.google.com
lambda,Sinónimo de tasa de regularización.,lambda,developers.google.com
lamda (modelo de idioma para aplicaciones de diálogo),Un modelo de lenguaje grande basado en transformadores desarrollado por Google entrenado en un gran conjunto de datos de diálogo que puede generar respuestas conversacionales realistas.,lamda (language model for dialogue applications),developers.google.com
punto de referencia,Sinónimo de puntos clave.,landmarks,developers.google.com
modelo de lenguaje,Un modelo que estima la probabilidad de un token o secuencia de tokens que ocurran en una secuencia más larga de tokens.,language model,developers.google.com
modelo de lenguaje grande,"Como mínimo, un modelo de idioma tiene un número muy alto de parámetros.",large language model,developers.google.com
espacio latente,Sinónimo de incrustación del espacio.,latent space,developers.google.com
capa,Un conjunto de neuronas en una red neuronal.,layer,developers.google.com
api de capas (tf.lapas),Una API de flujo tensor para construir una red neuronal profunda como composición de capas.,layers api (tf.layers),developers.google.com
hoja,Cualquier punto final en un árbol de decisión.,leaf,developers.google.com
herramienta de interpretabilidad de aprendizaje (encendido),Una herramienta visual e interactiva de modelos y visualización de datos.,learning interpretability tool (lit),developers.google.com
tasa de aprendizaje,Un número de punto flotante que le dice al algoritmo de descenso de gradiente cuán fuertemente ajustar pesos y sesgos en cada iteración.,learning rate,developers.google.com
regresión de mínimos cuadrados,Un modelo de regresión lineal entrenado minimizando la pérdida de L2.,least squares regression,developers.google.com
distancia de levenshtein,"Una métrica de distancia de edición que calcula la menor cantidad de operaciones de eliminación, inserción y sustituto requeridas para cambiar una palabra a otra.",levenshtein distance,developers.google.com
lineal,Una relación entre dos o más variables que se pueden representar únicamente a través de la suma y la multiplicación.,linear,developers.google.com
modelo lineal,Un modelo que asigna un peso por característica para hacer predicciones.,linear model,developers.google.com
regresión lineal,Un tipo de modelo de aprendizaje automático en el que ambos son verdaderos: regresión lineal de contraste con regresión logística.,linear regression,developers.google.com
encendido,"La abreviatura de la herramienta de interpretabilidad de aprendizaje (LIT), que anteriormente se conocía como la herramienta de interpretabilidad del lenguaje.",lit,developers.google.com
llm,Abreviatura para un modelo de lenguaje grande.,llm,developers.google.com
evaluaciones de llm (evals),Un conjunto de métricas y puntos de referencia para evaluar el rendimiento de los modelos de idiomas grandes (LLM).,llm evaluations (evals),developers.google.com
regresión logística,Un tipo de modelo de regresión que predice una probabilidad.,logistic regression,developers.google.com
logits,"El vector de predicciones sin formalizar (no normalizadas) que genera un modelo de clasificación, que normalmente se pasa a una función de normalización.",logits,developers.google.com
pérdida de registro,La función de pérdida utilizada en la regresión logística binaria.,log loss,developers.google.com
log odds,El logaritmo de las probabilidades de algún evento.,log odds,developers.google.com
memoria a corto plazo (lstm),"Un tipo de celda en una red neuronal recurrente utilizada para procesar secuencias de datos en aplicaciones como reconocimiento de escritura a mano, traducción automática y subtítulos de imágenes.",long short term memory (lstm),developers.google.com
lora,Abreviatura de adaptabilidad de bajo rango.,lora,developers.google.com
pérdida,"Durante el entrenamiento de un modelo supervisado, una medida de hasta qué punto el predicción de un modelo de su etiqueta.",loss,developers.google.com
agregador de pérdidas,Un tipo de algoritmo de aprendizaje automático que mejora el rendimiento de un modelo combinando las predicciones de múltiples modelos y utilizando esas predicciones para hacer una sola predicción.,loss aggregator,developers.google.com
curva de pérdida,Una trama de pérdida en función del número de iteraciones de entrenamiento.,loss curve,developers.google.com
función de pérdida,"Durante el entrenamiento o las pruebas, una función matemática que calcula la pérdida en un lote de ejemplos.",loss function,developers.google.com
superficie de pérdida,Un gráfico de peso (s) versus pérdida.,loss surface,developers.google.com
adaptabilidad de bajo rango (lora),"Una técnica de eficiencia de parámetros para un ajuste fino que ""congela"" los pesos pretrontrados del modelo (de modo que ya no se pueden modificar) y luego inserta un pequeño conjunto de pesos entrenables en el modelo.",low rank adaptability (lora),developers.google.com
lstm,Abreviatura para memoria a largo plazo.,lstm,developers.google.com
aprendizaje automático,Un programa o sistema que capacita a un modelo a partir de datos de entrada.,machine learning,developers.google.com
traducción automática,"Uso del software (generalmente, un modelo de aprendizaje automático) para convertir el texto de un lenguaje humano a otro idioma humano, por ejemplo, del inglés al japonés.",machine translation,developers.google.com
clase mayoritaria,La etiqueta más común en un conjunto de datos ilusizado con clase.,majority class,developers.google.com
proceso de decisión de markov (mdp),Un gráfico que representa el modelo de toma de decisiones donde se toman decisiones (o acciones) para navegar por una secuencia de estados bajo el supuesto de que la propiedad de Markov posee.,markov decision process (mdp),developers.google.com
propiedad de markov,"Una propiedad de ciertos entornos, donde las transiciones estatales están completamente determinadas por información informal en el estado actual y la acción del agente.",markov property,developers.google.com
modelo de lenguaje enmascarado,Un modelo de idioma que predice la probabilidad de que los tokens candidatos llenen los espacios en blanco en una secuencia.,masked language model,developers.google.com
mate,Una biblioteca de trazado de Python 2D de código abierto.,matplotlib,developers.google.com
factorización de matriz,"En matemáticas, un mecanismo para encontrar las matrices cuyo producto DOT se aproxima a una matriz objetivo.",matrix factorization,developers.google.com
error absoluto medio (mae),La pérdida promedio por ejemplo cuando se usa la pérdida de L1.,mean absolute error (mae),developers.google.com
precisión promedio media en k (map@k),La media estadística de todas las puntuaciones de precisión promedio en K en un conjunto de datos de validación.,mean average precision at k (map@k),developers.google.com
error cuadrado medio (mse),La pérdida promedio por ejemplo cuando se usa la pérdida de L2.,mean squared error (mse),developers.google.com
malla,"En la programación paralela de ML, un término asociado con la asignación de datos y modelo a chips TPU, y definiendo cómo estos valores serán fragmentados o replicados.",mesh,developers.google.com
meta aprendizaje,Un subconjunto de aprendizaje automático que descubre o mejora un algoritmo de aprendizaje.,meta learning,developers.google.com
métrico,Una estadística que te importa.,metric,developers.google.com
api de métricas (tf.metrics),Una API de flujo tensor para evaluar modelos.,metrics api (tf.metrics),developers.google.com
mini lote,Un subconjunto pequeño y seleccionado al azar de un lote procesado en una iteración.,mini batch,developers.google.com
mini descenso de gradiente estocástico de lotes,Un algoritmo de descenso de gradiente que usa mini lotes.,mini batch stochastic gradient descent,developers.google.com
pérdida de minax,"Una función de pérdida para las redes adversas generativas, basada en la entropía cruzada entre la distribución de datos generados y datos reales.",minimax loss,developers.google.com
clase minoritaria,La etiqueta menos común en un conjunto de datos ilusizado con clase.,minority class,developers.google.com
mezcla de expertos,Un esquema para aumentar la eficiencia de la red neuronal mediante el uso solo de un subconjunto de sus parámetros (conocidos como expertos) para procesar un token o ejemplo de bienput dada.,mixture of experts,developers.google.com
ml,Abreviatura de aprendizaje automático.,ml,developers.google.com
mano,Abreviatura de instrucción multimodal.,mmit,developers.google.com
mnista,"Un conjunto de datos de dominio público compilado por Lecun, Cortes y Burges que contiene 60,000 imágenes, cada imagen que muestra cómo un humano escribió manualmente un dígito particular de 0 a 9.",mnist,developers.google.com
modalidad,Una categoría de datos de alto nivel.,modality,developers.google.com
modelo,"En general, cualquier construcción matemática que procese los datos de entrada y devuelva la salida.",model,developers.google.com
capacidad modelo,La complejidad de los problemas que un modelo puede aprender.,model capacity,developers.google.com
modelo en cascada,Un sistema que elige el modelo ideal para una consulta de inferencia específica.,model cascading,developers.google.com
paralelismo modelo,Una forma de escalar el entrenamiento o la inferencia que coloca diferentes partes de un modelo en diferentes dispositivos.,model parallelism,developers.google.com
enrutador modelo,El algoritmo que determina el modelo ideal para la inferencia en la cascada del modelo.,model router,developers.google.com
entrenamiento modelo,El proceso de determinar el mejor modelo.,model training,developers.google.com
moe,Abreviatura de la mezcla de expertos.,moe,developers.google.com
impulso,"Un algoritmo de descenso de gradiente sofisticado en el que un paso de aprendizaje depende no solo de la derivada en el paso actual, sino también de las derivadas de los pasos que lo precedieron inmediatamente.",momentum,developers.google.com
monte,Abreviación para la traducción automática.,mt,developers.google.com
clasificación de múltiples clases,"En el aprendizaje supervisado, un problema de clasificación en el que el conjunto de datos contiene más de dos clases de etiquetas.",multi class classification,developers.google.com
regresión logística de múltiples clases,Uso de regresión logística en problemas de clasificación de múltiples clases.,multi class logistic regression,developers.google.com
atención a sí mismo de múltiples cabeza,Una extensión de la autoeficiencia que aplica el mecanismo de autoatensión varias veces para cada posición en la secuencia de entrada.,multi head self attention,developers.google.com
instrucción multimodal sintonizada,"Modelo ajustado a AnInstruction que puede procesar la entrada más allá del texto, como imágenes, video y audio.",multimodal instruction tuned,developers.google.com
modelo multimodal,"Un modelo cuyas entradas, salidas o ambas incluyen más de una modalidad.",multimodal model,developers.google.com
clasificación multinomial,Sinónimo de clasificación múltiple.,multinomial classification,developers.google.com
regresión multinomial,Sinónimo de regresión logística de múltiples clases.,multinomial regression,developers.google.com
multitarea,Una técnica de aprendizaje automático en la que se capacita un solo modelo para realizar múltiples tareas.,multitask,developers.google.com
trampa nan,"Cuando un número en su modelo se convierte en un nan durante el entrenamiento, lo que hace que muchos o todos los demás números en su modelo eventualmente se conviertan en un NAN.",nan trap,developers.google.com
comprensión del lenguaje natural,Un subconjunto de procesamiento del lenguaje natural que determina las intenciones de algo dicho o escrito.,natural language understanding,developers.google.com
clase negativa,"En la clasificación binaria, una clase se denomina positiva y la otra se denomina negativa.",negative class,developers.google.com
muestreo negativo,Sinónimo de muestreo candidato.,negative sampling,developers.google.com
búsqueda de arquitectura neural (nas),Una técnica para diseñar automáticamente la arquitectura de una red neuronal.,neural architecture search (nas),developers.google.com
red neuronal,Un modelo que contiene al menos una capa oculta.,neural network,developers.google.com
neurona,"En el aprendizaje automático, una unidad distinta dentro de una capa oculta de una red neuronal.",neuron,developers.google.com
n gramo,Una secuencia ordenada de n palabras.,n gram,developers.google.com
pnlp,Abreviación para el procesamiento del lenguaje natural.,nlp,developers.google.com
nlu,Abreviatura para la comprensión del lenguaje natural.,nlu,developers.google.com
nodo (árbol de decisión),"En un árbol de decisión, cualquier condición o hoja.",node (decision tree),developers.google.com
nodo (red neuronal),Una neuronina una capa oculta.,node (neural network),developers.google.com
nodo (gráfico tensorflow),Una operación en un gráfico TensorFlow.,node (tensorflow graph),developers.google.com
ruido,"En términos generales, cualquier cosa que oculte la señal en un conjunto de datos.",noise,developers.google.com
condición no binaria,Una condición que contiene más de dos resultados posibles.,non binary condition,developers.google.com
no lineal,Una relación entre dos o más variables que no se pueden representar únicamente a través de la suma y la multiplicación.,nonlinear,developers.google.com
sesgo sin respuesta,Ver sesgo de selección.,non response bias,developers.google.com
no estacionaridad,"Una característica cuyos valores cambian en una o más dimensiones, generalmente el tiempo.",nonstationarity,developers.google.com
ninguna respuesta correcta (nora),Un aviso que tiene múltiples respuestas apropiadas.,no one right answer (nora),developers.google.com
nora,Abreviatura de nadie correcto.,nora,developers.google.com
normalización,"En términos generales, el proceso de convertir el rango real de valores de una variable en un rango estándar de valores, como: por ejemplo, suponga que el rango real de valores de una determinada característica es de 800 a 2,400.",normalization,developers.google.com
detección de novedad,El proceso de determinar si un nuevo ejemplo (novedoso) proviene de la misma distribución que el conjunto de capacitación.,novelty detection,developers.google.com
datos numéricos,Características representadas como enteros o números de valor real.,numerical data,developers.google.com
numpy,Una biblioteca de matemáticas de código abierto que proporciona operaciones de matriz eficientes en Python.,numpy,developers.google.com
objetivo,Una métrica que su algoritmo está tratando de optimizar.,objective,developers.google.com
función de objetivos,La fórmula o métrica matemática que un modelo tiene como objetivo optimizar.,objective function,developers.google.com
condición oblicua,"En un árbol de decisión, una condición que involucra más de una característica.",oblique condition,developers.google.com
desconectado,Sinónimo de estática.,offline,developers.google.com
inferencia fuera de línea,El proceso de un modelo que genera un lote de predicciones y luego almacenado en caché (ahorre) esas predicciones.,offline inference,developers.google.com
una codificación caliente,Representar los datos categóricos como un vector en el que: la codificación única se usa comúnmente para representar cadenas o identificadores que tienen un conjunto finito de valores posibles.,one hot encoding,developers.google.com
aprendizaje de un tiro,"Un enfoque de aprendizaje automático, a menudo utilizado para la clasificación de objetos, diseñado para aprender un modelo de clasificación efectivo a partir de un solo ejemplo de capacitación.",one shot learning,developers.google.com
un tiro de inicio,Un mensaje que contiene un ejemplo que demuestra cómo debe responder el modelo de idioma grande.,one shot prompting,developers.google.com
uno contra todo,"Dado un problema de clasificación con las clases de N, una solución que consiste en N clasificadores binarios separados, un clasificador binario para cada resultado posible.",one vs. all,developers.google.com
en línea,Sinónimo de dinámica.,online,developers.google.com
inferencia en línea,Generando predicciones a demanda.,online inference,developers.google.com
operación (op),"En TensorFlow, cualquier procedimiento que cree, manipula o destruya un tensor.",operation (op),developers.google.com
optax,Una biblioteca de procesamiento y optimización de gradiente para Jax.,optax,developers.google.com
optimizador,Una implementación específica del algoritmo de descenso de gradiente.,optimizer,developers.google.com
sesgo de homogeneidad grupal,"La tendencia a ver a los miembros fuera del grupo como más iguales a los miembros que en el grupo al comparar actitudes, valores, rasgos de personalidad y otras características.",out group homogeneity bias,developers.google.com
detección atípica,El proceso de identificación de valores atípicos en un conjunto de capacitación.,outlier detection,developers.google.com
valores atípicos,Valores distantes de la mayoría de los otros valores.,outliers,developers.google.com
evaluación de la bolsa (evaluación oob),Un mecanismo para evaluar la calidad de un bosque de decisión al probar cada árbol de decisión contra los ejemplos no utilizados durante el entrenamiento de ese árbol de decisión.,out of bag evaluation (oob evaluation),developers.google.com
capa de salida,"La capa ""final"" de una red neuronal.",output layer,developers.google.com
sobreajuste,Crear un modelo que coincida tanto con los datos de entrenamiento que el modelo no puede hacer predicciones correctas en los nuevos datos.,overfitting,developers.google.com
sobremuestreo,Reutilizando los ejemplos de una clase minoritaria en un conjunto de datos integral de clase para crear un conjunto de capacitación más equilibrado.,oversampling,developers.google.com
datos empacados,Un enfoque para almacenar datos de manera más eficiente.,packed data,developers.google.com
pandas,Una API de análisis de datos orientada a la columna construida sobre Numpy.,pandas,developers.google.com
parámetro,Los pesos y sesgos que un modelo aprende durante el entrenamiento.,parameter,developers.google.com
ajuste eficiente de los parámetros,Un conjunto de técnicas para ajustar un gran modelo de lenguaje previamente capacitado (PLM) de manera más eficiente que el ajuste completo completo.,parameter efficient tuning,developers.google.com
servidor de parámetros (ps),Un trabajo que realiza un seguimiento de los parámetros de un modelo en una configuración distribuida.,parameter server (ps),developers.google.com
actualización de parámetros,"La operación de ajustar los parámetros de un modelo durante el entrenamiento, típicamente dentro de una sola iteración de descenso de gradiente.",parameter update,developers.google.com
derivado parcial,Un derivado en el que todas las variables menos una se considera una constante.,partial derivative,developers.google.com
sesgo de participación,Sinónimo de sesgo de no respuesta.,participation bias,developers.google.com
estrategia de partición,El algoritmo por el cual las variables se dividen en los servidores de parámetros.,partitioning strategy,developers.google.com
pase en k (pase@k),"Una métrica para determinar la calidad del código (por ejemplo, Python) que genera un modelo de idioma grande.",pass at k (pass@k),developers.google.com
paz,Un marco de programación diseñado para capacitar a modelos de red neuronal a gran escala tan grande que abarcan múltiples cortes o vainas de chips de acelerador TPU.,pax,developers.google.com
perceptrón,"Un sistema (ya sea hardware o software) que toma uno o más valores de entrada, ejecuta una función en la suma ponderada de las entradas y calcula un valor de salida único.",perceptron,developers.google.com
importaciones variables de permutación,Un tipo de importancia variable que evalúa el aumento en el error de predicción de un modelo después de permitir los valores de la característica.,permutation variable importances,developers.google.com
perplejidad,Una medida de qué tan bien un modelo está logrando su tarea.,perplexity,developers.google.com
segmentación,La infraestructura que rodea un algoritmo de aprendizaje automático.,pipeline,developers.google.com
segmentación,Una forma de paralelismo modelo en el que el procesamiento de un modelo se divide en etapas consecutivas y cada etapa se ejecuta en un dispositivo diferente.,pipelining,developers.google.com
pjit,Una función JAX que divide el código para cumplir con múltiples chips de acelerador.,pjit,developers.google.com
ciclo de vida del producto,Abreviatura del modelo de lenguaje previamente capacitado.,plm,developers.google.com
pmap,"Una función JAX que ejecuta copias de la función AnInput en múltiples dispositivos de hardware subyacentes (CPU, GPU o TPU), con diferentes valores de entrada.",pmap,developers.google.com
política,"En el aprendizaje de refuerzo, el mapeo probabilístico de un agente de los estados a las acciones.",policy,developers.google.com
agrupación,Reducción de una matriz (o matrices) creada por una capa convolucional anterior a una matriz más pequeña.,pooling,developers.google.com
codificación posicional,Una técnica para agregar información sobre la posición de una secuencia de Tokenin A a la incrustación del token.,positional encoding,developers.google.com
clase positiva,La clase que está probando.,positive class,developers.google.com
procesamiento post,Ajustar la salida de un modelo después de que se ejecute el modelo.,post processing,developers.google.com
área bajo la curva de recuperación de precisión,"Área bajo la curva de recuperación de precisión interpolada, obtenida trazando (recordar, precisión) puntos para diferentes valores del umbral de clasificación.",pr auc (area under the pr curve),developers.google.com
práctica,Una biblioteca ML de ML de alto rendimiento de PAX.,praxis,developers.google.com
precisión,"Una métrica para los modelos de clasificación que responde a la siguiente pregunta: cuando el modelo predijo la clase positiva, ¿qué porcentaje de las predicciones fueron correctas? Aquí está la fórmula: donde: por ejemplo, supongamos que un modelo hizo 200 predicciones positivas.",precision,developers.google.com
precisión en k (precision@k),Una métrica para evaluar una lista clasificada (ordenada) de elementos.,precision at k (precision@k),developers.google.com
curva de recuerdo de precisión,Una curva de precisión versus recuperación en diferentes umbrales de clasificación.,precision recall curve,developers.google.com
predicción,La salida de un modelo.,prediction,developers.google.com
sesgo de predicción,Un valor que indica qué tan separado es el promedio de las predicciones del promedio de las etiquetas en el conjunto de datos.,prediction bias,developers.google.com
ml predictivo,"Cualquier sistema de aprendizaje automático estándar (""clásico"").",predictive ml,developers.google.com
paridad predictiva,"Una métrica de equidad que verifica si, para un clasificador dado, las tasas de precisión son equivalentes para los subgrupos bajo consideración.",predictive parity,developers.google.com
paridad de tasa predictiva,Otro nombre para la paridad predictiva.,predictive rate parity,developers.google.com
modelo pre -entrenado,"Por lo general, un modelo que ya ha sido entrenado.",pre trained model,developers.google.com
previo al entrenamiento,El entrenamiento inicial de un modelo en un gran conjunto de datos.,pre training,developers.google.com
creencia previa,Lo que cree sobre los datos antes de comenzar a entrenar ONIT.,prior belief,developers.google.com
modelo de regresión probabilística,"Un modelo de regresión que utiliza no solo los pesos para cada característica, sino también la incertidumbre de esos pesos.",probabilistic regression model,developers.google.com
función de densidad de probabilidad,Una función que identifica la frecuencia de muestras de datos que tienen exactamente un valor particular.,probability density function,developers.google.com
inmediato,Cualquier texto ingresado como entrada a un modelo de lenguaje grande para acondicionar el modelo para que se comporte de cierta manera.,prompt,developers.google.com
aprendizaje basado en el aviso,Una capacidad de ciertos modelos que les permite adaptar su comportamiento en respuesta a la entrada de texto arbitraria (indicaciones).,prompt based learning,developers.google.com
diseño rápido,Sinónimo de ingeniería rápida.,prompt design,developers.google.com
ingeniería rápida,El arte de crear indicaciones que provocan las respuestas deseadas de un modelo de lenguaje grande.,prompt engineering,developers.google.com
ajuste rápido,"Un mecanismo de sintonización eficiente de parámetros que aprende un ""prefijo"" que el sistema prepara a la solicitud real.",prompt tuning,developers.google.com
etiquetas proxy,Datos utilizados para aproximar las etiquetas no disponibles directamente en un conjunto de datos.,proxy labels,developers.google.com
función pura,"Una función cuyas salidas se basan solo en las entradas ONIT, y eso no tiene efectos secundarios.",pure function,developers.google.com
q función,"En el aprendizaje de refuerzo, la función que predice el rendimiento esperado de tomar un estado de acción en un estado y luego seguir una política determinada.",q function,developers.google.com
q aprendizaje,"En el aprendizaje de refuerzo, un algoritmo que permite a un agente aprender la función Q óptima de un proceso de decisión de Markov aplicando la ecuación de Bellman.",q learning,developers.google.com
cuantil,Cada cubo en un bulto de cuantil.,quantile,developers.google.com
bulto de cuantil,Distribuir los valores de una característica en cubos para que cada cubo contenga el mismo (o casi el mismo) número de ejemplos.,quantile bucketing,developers.google.com
cuantificación,Término sobrecargado que podría usarse de cualquiera de las siguientes maneras: reducir el número de bits utilizados para almacenar los parámetros de un modelo.,quantization,developers.google.com
cola,Una operación de flujo tensor que implementa una estructura de datos de cola.,queue,developers.google.com
trapo,Abreviatura para la generación de recuperación augtada.,rag,developers.google.com
bosque al azar,"Un conjunto de árboles de decisión en el que cada árbol de decisión está entrenado con un ruido aleatorio específico, como el embolsado.",random forest,developers.google.com
política aleatoria,"En el aprendizaje de refuerzo, una política que elige una acción al azar.",random policy,developers.google.com
rango (ordinalidad),La posición ordinal de una clase en un problema de aprendizaje automático que clasifica las clases de la más alta a la más baja.,rank (ordinality),developers.google.com
rango (tensor),El número de dimensiones en un tensor.,rank (tensor),developers.google.com
categoría,Un tipo de aprendizaje supervisado cuyo objetivo es pedir una lista de elementos.,ranking,developers.google.com
apreciador,Un humano que proporciona etiquetas para ejemplos.,rater,developers.google.com
recordar,"Una métrica para los modelos de clasificación que responde a la siguiente pregunta: cuando la verdad del suelo era la clase positiva, ¿qué porcentaje de predicciones identificó correctamente el modelo como la clase positiva? Aquí está la fórmula: \ [\ text {recuperar} = \ frac {\ text {verdaderas positivas}}} {\ text {verdaderas positivas} + \ text {fals negativos}} \]. La verdad del suelo era la clase positiva.",recall,developers.google.com
recuerde en k (recordar@k),Una métrica para evaluar sistemas que generan una lista de elementos clasificada (ordenada).,recall at k (recall@k),developers.google.com
sistemas de recomendación,Un sistema que selecciona para cada usuario un conjunto relativamente pequeño de elementos deseables de un cuerpo grande.,recommendation system,developers.google.com
unidad lineal rectificada (relu),Una función de activación con el siguiente comportamiento: Por ejemplo: aquí hay una gráfica de Relu: Relu es una función de activación muy popular.,rectified linear unit (relu),developers.google.com
red neuronal recurrente,"Una red neuronal que se ejecuta intencionalmente varias veces, donde las partes de cada ejecución se alimentan en la siguiente ejecución.",recurrent neural network,developers.google.com
texto de referencia,La respuesta de un experto a un aviso.,reference text,developers.google.com
modelo de regresión,"Informalmente, un modelo que genera una predicción numérica.",regression model,developers.google.com
regularización,Cualquier mecanismo que reduzca el sobreajuste.,regularization,developers.google.com
