concepto,descripcion,source,concept
importancia de big data,"Con el desarrollo de la revolución tecnológica, miles y millones de personas están generando grandes cantidades de datos mediante el uso de diversos dispositivos; es decir, de manera conceptual big data hace referencia al gran volumen de datos generados por la humanidad a través de diferentes dispositivos; en donde, el procesamient o y análisis de estos datos son de gran valor para la toma de decisiones de una organización [7].    los datos se han convertido en algo muy importante y valioso para las empresas.",book3,importance of big data
beneficios de big data,"Las nuevas tecnologías aplicadas a big data buscan aportar compe titividad a las diferentes organizaciones, sean públicas o privadas, pues es la competitividad la que permite que perduren en el tiempo y puedan alcanzar sus objetivos [10]. los datos al convertirse en información ayudan a tomar decisiones referentes a la estrategia que algunas empresas, organizaciones o los gobiernos implementan.",book3,big data benefits
toma de decisiones,"Mediante la creación de sistemas con la capacidad de procesar grandes volúmenes de datos estructurados, se facilita de forma dinámica la interpretación de la información para las empresas u organizaciones y de esta manera puedan tomar decisiones inteligentes.",book3,decision making
respuesta en tiempo real,"Es el lado positivo y es uno de los beneficios que ha generado que el funcionamiento de los sistemas se mantenga en equilibrio, ya que esta tecnología no solo procesa y almacena información",book3,real time response
reducción de costos de capital,"Tener el conocimiento de los datos a tratar, permite utilizar los datos que se tienen creando una reducción en el software, hardware y otros costes de infraestructura, bridando así una satisfacción en cuanto al uso y respuesta de las necesidades.",book3,capital cost reduction
eficiencia operacional,"Una reducción de los costes laborales debido a los métodos más eficientes para la integración de datos, la gestión, el análisis, y la entrega.",book3,operational efficiency
mejoras en los procesos de negocio,"Un incremento en los ingresos o ganancias debido a las nue vas o mejores maneras de hacer negocios, incluyendo mejoras en las transacciones comerciales, la gestión sostenible de las comunidades, y la distribución apropiada de los servicios sociales, sanitarios, educativos y servicios [3].",book3,improvements in business processes
características de big data,"Desde una perspectiva evolutiva, la generación de grande volumen de datos no es algo nuevo. el avance hacia big data es una continuación de la antigua búsqueda de la humanidad para medir, registrar y analizar el mundo.",book3,big data characteristics
volumen,En big data es la capacidad de procesar grandes cantidades de información y es el principal atractivo de análisis de grandes volúmenes de datos [12]. el volumen se analiza en términos de bytes [13].,book3,volume
velocidad,"En big data la velocidad es una de las características principales , esta tecnología se encarga de procesar y analizar de manera rápida con la finalidad de extraer la información útil y más relevante.  la velocidad implica flujos de datos, estructurada creación de los documentos, y la disponibilidad para el acceso y la entr ega.",book3,speed
variedad,"Estos datos no tienen una estructura fija y rara vez se presentan en una forma perfectamente ordenada y lista para su procesamiento [12].   la mayor velocidad de los datos normalmente se transmite directamente a la memoria, en vez de escribirse en un disco .",book3,variety
características que se suman para formar las 5v,"Las tres v se encuentran en gran medida en diversas literaturas, sin embargo, otros autores e institutos como ieee toman en cuenta las características de valor y veracidad, sumado así 5v. estas dos últimas surgen a raíz de las preguntas ¿cuál es la veracidad de los datos y cuanto se puede confiar en ellos?; en la realidad y hoy en día big data han tomado gran importancia e incluir estas características cumplen con el propósito de ob tener información pertinente, además de desarrollar una definición adecuada, la gran investigación de datos también debe centrarse en cómo extraer su valor, cómo usar los datos, y como transformar un conjunto de datos en grandes datos [1].",book3,characteristics that are added to form 5v
veracidad,"Caracterizado por contener la verdad o hecho, es decir, precisión y certeza.  poniendo en duda todo aquello que cause inconsistencia, engaños, fraudes, correos no deseados y latencia [8] [12], a medida que se multiplican los canales de interacción, la información de valor es cada vez más el resultado de la combinación de datos de múltiple origen y tipología que puede estar en forma estructurada, semiestructurada o no estructurada [16].",book3,veracity
clasificación de big data,"Se clasifican las tecnologías de big data en aquellas que dan soporte a la captura, transformación, procesamiento y análisis de los datos, pueden ser estructurados, semiestructurados o no estructurados [16].  se encuentran clasificados dependiendo de la necesidad que enfrenten las organizaciones o empresas, tomando en cuenta de la información a analizar y de los problemas a resolver, así como la diversa variedad de tipo de datos [2] [3].",book3,big data classification
tipos de datos en reposo,Los grandes volúmenes de datos en reposo son los que conocemos como datos estructurados y no estructurados [3][15]. cabe mencionar que cuando hablamos de los datos que están semiestructurados o no estructurados es para dejar en claro que todos los datos tienen alguna estructura [8].,book3,resting data types
estructurados,"Como su nombre lo indica son aquellos datos que están formados de manera estructurada definida, se pueden mencionar las hojas de excel o una base de datos sql. se les puede dar un uso a los datos de manera fácil y pueden ser utilizados para futuros análisis y predicciones.",book3,structured
tipos de datos en movimiento,"Big data cuenta con muchas fuentes, desde que se da un clic con el mouse en algún sitio web sabemos que en ese momento ya se puede capturarse en como un registro web.",book3,data types in motion
desafíos de los grandes volúmenes de datos,"Algunas de las problemáticas para el desarrollo de las aplicaciones de los grandes datos se presentan como grades retos en l a adquisición de datos, almacenamiento, gestión y análisis. los sistemas de gestión y análisis",book3,challenges of large data volumes
representación de datos o almacenamiento,"Muchos conjuntos de datos tienen ciertos niveles de heterogeneidad en el tipo, la estructura, la semántica, la organización, la granularidad y la accesibilidad [1].  los conjuntos de datos crecen en tamaño debido a que cada vez más los recopilan dispositivos móviles ubicuos con detección de información [2].",book3,data or storage representation
reducción de la redundancia y la compresión de datos,"Es eficaz para reducir el costo indirecto de todo el sistema en la premisa de que los valores potenciales de los datos no se ven afectados, a sí como eliminar la ambigüedad y resolver los problemas [1].",book3,reduction in redundancy and data compression
datos de gestión del ciclo de vida,Los valores ocultos en grandes volúmenes de datos dependen de la actualidad de los datos [1]; esto es con el fin de que sea eficiente y facilite la ext racción de imagen fiable y optimizar recursos [9].,book3,life cycle management data
mecanismo de análisis,El sistema de análisis de grandes volúmenes de datos que se deberá procesar grandes cantidades de datos heterogéneos en un tiempo limitado. las rdbms tradicionales tienen una gran falta de escalabilidad y capacidad de expansión es por ello por lo que tienen mayor ventaja en cuanto al manejo y tratamiento de datos estructurados [1].,book3,analysis mechanism
confidencialidad de los datos,"El análisis de grandes volúmenes de datos puede c ontemplar los riesgos de seguridad para procesar y proteger datos sensibles, y así garantizar su seguridad [1], haciendo los datos fiables, de manera accesible y manejable [6].",book3,data confidentiality
fiabilidad y escalabilidad,El sistema de análisis de grandes volúmenes de datos debe ser compatible con los conjuntos de datos actuales y futuras. esto para codificar los datos de seguridad y privacidad [9].,book3,reliability and scalability
beneficios tangibles,"Reducción de costos, generación de ingresos y reducción de tiempos en la que se realizan las actividades  .",book3,tangible benefits
beneficios intangibles,"Se tiene la información disponible para tomar una decisión, generando que esta información sea tomada en cuenta por otros usuarios para tomar decisiones y competencia.",book3,intangible benefits
beneficios estratégicos,"Buscando todo aquello que permita formular una estrategia con el fin de saber a qué giro dirigirse, es decir, productos, clientes o mercados. con la ayuda de los indicadores de gestión para conocer el negocio.",book3,strategic benefits
componentes de inteligencia de negocio,En esta sección abordaremos algunos componentes que se suman a la importancia de la inteligencia de negocios.,book3,business intelligence components
de información sql o nosql,"Es el almacén de datos que se encuentran en filas y columnas, el acceso es mediante consultas sql. es una base de datos relacional que se encuentra baja la escritura del lenguaje de consulta estructurado denominado sql y se caracteriza por manejar con rapidez los datos dependientes del contexto [4].",book3,sql or nosql information
proceso etl,"Es el proceso de extracción, transformación y carga de datos, conocido por sus siglas en ingles extract, transfor, load (etl), dentro de sus funciones se encarga de filtrar, ordenar, combinar, limpiar, v erificar y convertir los datos validos en tipos y formatos adecuados. normalmente, se ejecutan en paralelo las tres fases del proceso etl para ahorrar tiempo [8].",book3,etl process
extracción,Como su nombre lo indica se encarga de obtener y/o extraer los datos que se encuentran en el sistema de origen.,book3,extraction
transformación,"En este proceso se realizan varias operaciones, los diversos datos precedentes de repositorios digitales, normalmente no hay coincidencia en formato, es por ello por lo que resulta difícil integrarlos causando esto la necesidad de realizar la operación de transformación [20].",book3,transformation
carga,"Se introducen los datos en un almacén una vez que hayan sido extraídos y transformados al formato deseado para que así sean cargados a su destino. hay casos en los que se sobre escribe la información que es vieja con la actual, así como también hay otros que se encargan de guardar el historial de los cambios realizados.",book3,burden
data mart,"Se dice que es una base de datos departamental, encargada del almacenamiento de los datos designada a un área específica. una de sus características es contar con estructura óptima de datos con la finalidad de realizar un análisis de información detalladam ente desde una perspectiva que cree una afectación a los procesos.",book3,data mart
data warehouse o almacén de datos,"Un data warehouse es una base de datos corporativa cuya característica principal es integrar y depurar información de una o más fuentes, para luego procesarla, lo que permite un análisis desde diversas perspectivas y con grandes velocidades de respuesta. la creación de un data warehouse representa el",book3,data warehouse or data warehouse
procesamiento analítico en línea,"Es una de las soluciones en inteligencia de negocios, permite extraer de manera fácil y selectiva los datos. es una estructura multidimensional de base de datos encargada de organizar y relacionar los datos entre sí, se pueden visualizar en forma de cubos, estos cubos dentro de cubos de datos y cada una de los lados o caras del cubo es considerado una dimensión de los datos.",book3,online analytical processing
modelo de inteligencia de negocios,"Está conformado por 4 fases en las cuales se considera un conjunto de herramientas, aplicaciones, infraestructura y mejor manejo de las practicas que permiten el análisis y acceso de los datos adquiridos y así optimizar el desempeño de las organizaciones.",book3,business intelligence model
fuentes de información,"Son aquellas en las que se encuentran contenidas las bases de datos, sistemas de transaccionales asociadas a los sistemas de información sql o nosql para almacenar la información el data warehouse.",book3,information sources
procesamiento de datos,"La adquisición de los datos está a cargo de las herramientas tecnológicas centradas al proceso de extracción, transformación y carga de los datos denominado por sus siglas etl.",book3,data processing
almacenamiento,"Después del procesamiento de datos estos deben almacenarse y archivarse, para las grandes c antidades de datos existen bodegas de datos (data waterhouse, data mart) que se encargan de la extracción, transformación y almacenamiento, siento esta la parte central de la arquitectura del modelo de la inteligencia de negocios (bi). el sentido de ellos es almacenar los datos de manera que sea mayor su administración, acceso y flexibilidad [16].",book3,storage
agregación y aplicación de herramientas tecnológicas,Aquí se analiza los volúmenes de datos mediante el uso de datos multidimensionales (olap) [16][24].,book3,aggregation and application of technological tools
registro de datos / minería de datos,"La minería de datos se puede definir como el proceso en el cual se extrae el conocimiento partiendo de volúmenes de datos, es por ello que se le puede denominar como el proceso de descubrimiento del conocimiento. la minería de datos surge por la necesidad de conocer la información útil a partir de las bases de datos o data warehouse, con el crecimiento de los datos disponibles, la inteligencia de negocios usar opto la minería de datos para aplicar soluciones empresariales y comerciales, y así descubrir la i nformación relevante [14].",book3,data record / data mining
análisis de estadístico,"El análisis del big datos se puede definir como el uso de técnicas analíticas avanzadas en grandes volúmenes de datos [4].  la clave para extraer valor de grandes volúmenes de datos es el uso de analytics, que realizan la recolección y el almac enamiento a sí mismos agregando poco valor.",book3,statistical analysis
visualización,"El objetivo principal de la visualización de datos es representar el conocimiento de forma más intuitiva y eficaz mediante el uso de diferentes gráficos, es decir, se refieren principalmente a la visualización de forma múltiple, de múltiples fuentes y datos en tiempo real [4].  una de las técnicas para la visuali zación de los datos más común es big data en la nube.",book3,display
aprendizaje automático,"Aprendizaje automático es descubrir el conocimiento y tomar decisiones inteligentes. se utiliza para muchas aplicaciones de palabra re al, tales como motores de recomendación, sistemas de reconocimiento, la informática y la minería de datos y sistemas de control autónomo [6].",book3,automatic learning
de analítica big data,"Son utilizadas para big data y se pueden mostrar tres tipos de análisis en las diferentes aplicaciones en las tecnologías y las arquitecturas que se implementan tienen ciertas diferencias.  podemos decir que la gran mayoría de los datos en bruto no dan a ofrecer demasiado valor, sin embargo al ser procesado mediante las herramie ntas y técnicas adecuadas se pueden extraer valiosas ideas y es por ello que gracias a la analítica avanzada, se puede tomar decisiones de forma más adecuada al utilizar los datos de manera concreta, permitiendo así automatizar cada proceso",book3,big data analytics
analítica descriptiva,"Se puede describir como el tipo de analítica más simple. este proceso de análisis permite concentrar el big data en datos más pequeños, permitiendo así que las informaciones sean piezas más manejables.",book3,descriptive analytics
analítica predictiva,"Es el encargado de predecir acerca del futuro o de sucesos por acontecer, por encargarse de agrupar y analizar los datos actuales e históricos, a través de la minería de datos se puede obtener la información y conocimiento de lo que se pretende predecir, así como los patrones de comportamiento respaldados por una serie de diferentes herramien tas analíticas como son: algoritmos estadísticos, consultas y aprendizaje automático. el uso de ella se presenta cuando las organizaciones se encuentran en problemas difíciles de resolver, tales como:",book3,predictive analytics
detección de fraudes,"Mediante el uso de herramientas de big data es posible almacenar grandes volúmenes de datos que permiten la detección de manera fácil y en tiempo real de la realización de algo indebido, así también permite realizar cruce de información, así también es posible el uso de algoritmos avan zados como machine learning. uso en el marketing.",book3,fraud detection
progresión en las operaciones,Ciertas organizaciones lo utilizan para realizar un pronóstico en sus inventarios y gestión de recursos.,book3,progress in operations
probabilidades bajas de riesgo,"Comúnmente relacionado con la evaluación que se les realiza a los clientes en las organizaciones que tiene como objetivo realizar una valoración respecto a sus compras predeterminadas, un ejemplo es la evaluación de crédito en donde se ve relacionado la in corporación de todos los datos relevantes para así conocer que tan viable es la otorgación de crédito.   en conclusión, el análisis predictivo permite optimizar y admitir segmentación que es compleja para así automatizar los datos.",book3,low risk probabilities
analítica prescriptiva,"En esta etapa analítica se requiere primero haber aplicado la analítica descriptiva, como se mencionó antes se encarga de dar a conocer el estado actual en el que se encuentra la organización así después saltamos a la analítica predictiva para realizar una estimación de aquello que no se conoce, es decir de los sucesos a acontecer, a estos procesos se le integra como extensión la analítica prescriptiva, encargada de sugerir sobre toma de decisiones o acciones.  a través del análisis de los sistemas se ejecutan las técnicas de simulación y optimización para encargarse de realizar recomendaci ones tales como reducción de costos, mejora de los beneficios y detección de alternativas",book3,prescriptive analytics
nubes privadas,Acceso y gestión desde una determinada organización.,book3,private clouds
nubes públicas,Pertenecen a un proveedor cloud computing y están abiertas al público.,book3,public clouds
nubes de comunidad,Comparte la infraestructura con v arias organizaciones.,book3,community clouds
servicios en la nube,Lo que se puede encontr ar en los servicios basados en la nube vienen en diversas formas. los proveedores externos son los encargados de brindar servicio en la nube publica mientras que nubes privadas se implementan dentro del firewall de una empresa.,book3,cloud services
software como servicio,"De los tres niveles es el más conocido del cloud computing, brindando apoyo a través del software, mejorando y cubriendo los procesos de las empresas. es una de las aplicaciones que se consumen de internet y el acceso se da muchas",book3,software as a service
plataforma como servicio,"En esta plataforma el software para crear o ejecutar las aplicaciones no es proporcionado por el proveedor, únicamente le brinda la plataforma básica, es decir, le proporciona al cliente un entorno de desarrollo y herramientas para nuevas aplicaciones. las empresas pueden crear y desarr ollar sus propios servicios en una plataforma existente, he aquí paas se diferencia de saas.",book3,platform as a service
infraestructura como servicio,"A diferencia de los otros servicios, en este el proveedor proporciona el almacenamiento y la potencia de cálculo sin ser procesado, no integra el sistema operativo, así como tampoco el software de aplicación, quien se encarga de esto es el cliente, es decir, cargan una imagen que contiene la aplicación y el sistema operativo. en otros términos, este servicio ofrece infraestructura, lo cual significa almacenamiento, potencia de procesamiento y máquinas virtuales, todo esto el proveedor de la nube satisface las necesidades del cliente virtualizando los recursos de acuerdo con los acuerdos de nivel de servicio.",book3,infrastructure as a service
herramientas basadas en el procesamiento por lotes,"La mayoría de las herramientas de procesamiento por lotes se basan en la infraestructura apache hadoop, como mahout y drya [2].",book3,tools based on lots processing
herramientas basadas en el procesamiento de flujo,"Apache storm y s4 son buenos ejemplos de plataformas de análisis de datos grandes de streaming. el análisis interactivo procesa los datos en un entorno interactivo, permitiendo a los usuarios llevar a cabo su propio análisis de la información.",book3,tools based on flow processing
herramientas de análisis interactivas,Dremel y apache taladro de google son las plataformas de grandes volúmenes de datos en base a un análisis interactivo [2].,book3,interactive analysis tools
plataformas y software para tratamiento de big data,"Se presentan tecnologías de software libre permitiendo así la generación de soluciones de big data tomando en cuenta aquellas necesidades que se presentan en un dominio de datos u organización, existen de igual forma tecnologías propietarias que soportan big data [14].   en nuestro entorno actual ya existen diferentes herramientas, la existencia de software que tiene como tarea el uso de la tecnología big data, la cual llamamos software de tratamiento, encargados de los grandes almacenes de datos, es entonces cuando se puede decir que mapreduce es la base de la programación de los diferentes herramientas y software.",book3,platforms and software for big data treatment
hadoop,"La herramienta hadoop es un entorno de desarrollo que permite almacenar, procesar y analizar grandes cantidades de datos, también definida como una librería de apache denominado framewor k. fue creada con el propósito de responder a las necesidades de implementación de big data.",book3,hadoop
hadoop tolerancia a fallos,"La tolerancia a fallos sucede c uando uno de los nodos falla , este no afecta al sistema y continúa funcionando. el trabajo que realiza es la detección de fallo y a s u vez tiene la capacidad de adaptarse a este teniendo como objetivo continuar con el servicio mientras se soluciona el problema del fallo reasignando el nodo maestro a otro, es decir se redistribuyen los trabajos.",book3,hadoop failure tolerance
hadoop distribuido,"Es el funcionamiento coordinado en un clúster mientras se ejecuta, es decir, puede trabajar los datos con gran rapidez, procesando de manera inmediata las enormes cantidades de tipos de datos [16]. es un clúster de ordenad ores que se encuentran conectados entre ellos de forma coordinada, permitiendo que el usuario no se preocupe por decidir en qué ordenador se ejecutar án, debido a que el clúster se encarga de las tareas de manera planificada y controlada por software [15].",book3,distributed hadoop
hadoop código abierto,"Hadoop open source tiene la ventaja que se encuentra disponible como código abierto permitiendo así crear modificaciones, utiliza modelos sencillos de programación. también es conocido como open source siendo un software de libre distribución, esta característica ha tenido ma yor índice de crecimiento y esto ha logrado no solo que este código llegue a muchos usuarios si no también que la calidad sea mucho mejor que otros que no son de código abierto.",book3,open source hadoop
hadoop bajo costo,"Con la ventaja de que el código abierto es gratuito y el empleo en el hardware se da para el almacenamiento de las grandes cantidades de datos. al ser un software de código abierto que habilita el procesamiento distribuido y el almacenamiento de grandes conjuntos de datos, hadoop tiene la capacidad de aumentar la escala de un solo servidor a miles de servidores, siento esta una manera de adaptación a los cambios en base a la demanda [13].",book3,hadoop low cost
hadoop distributed file system,"Hadoop distributed file system conocido también por sus siglas hdfs el cual tiene la tarea de funcionar como un sistema de archivos que se encarga de recopilar toda la información posible, definiéndolo como un sistema de archivos distribuido, capaz de ser escalable y portátil, escrito en java para el framework hadoop. este framework permite distribuir los archivos a diversas máquinas y es por eso que podemos decir que hdfs se aplica cuando la cantidad de datos es demasiada para una sola máquina [7].",book3,hadoop distributed file system
componentes que caracteriza a hdfs,"Hdfs se caracteriza por ser el más complejo que otros sistemas de archivos, debido a las complejidades e incertidumbres de las redes, se conforma por un clúster y se divide en dos tipos de nodos:",book3,components that characterize hdfs
nodo maestro,Se replican en múltiplos para facilitar el procesamiento en paralelo de grandes cantidades de datos.,book3,master node
nodo de datos,"Este actúa como nodo esclavo y almacena los archivos en bloques, el tamaño de bloque por defecto de los cuales es de 64 mb [7].  hdfs se encuentra sostenido por tres componentes en su estructura que a continuación se describirá en la siguiente imagen:",book3,data node
mapa reducido,"Mapa reducido es hoy en día el principal modelo de programación y aplicación asociada para el procesamiento y la generación de grandes conjuntos de datos [4]. el paradigma mapreduce es un modelo de programación que permite el procesamiento de grandes volúmenes de datos en forma paralela, facilitando el manejo tolerable de errores en la manipulación de datos masivos lo que a su vez también permite de la forma más sencilla que diferentes procesos trabajen simultáneamente e interactúen entre sí y tiene la capacidad de dividir una petición por parte de un cliente en otros muchas partes y encargar el trabajo a múltiples nodos que funcionan en paralelo.",book3,reduced map
map,"Como su nombre lo indica es quien se encarga básicamente del mapeo de la información que entra, operando en un único bloque de hdfs ejecutándose siempre que le sea permitido que se almacen e el bloque, minimizando el tráfico generado por la red.",book3,map
reduce,"Se encarga de revisar que la información que se recibe sea procesada, misma que se mapea en primera instancia, es decir, se encarga de recolectar las respuestas de las subtareas en cada uno de los subnodos, combinando y agrupando así la respuesta final.  estas fases tienen una etapa interna que permite la complementación para el funcionamiento y se le conoce como ""shuffle and sort"", encargada de realizar un ordenamiento por clave de aquellos resultados que se emiten al mapear.",book3,reduce
apache spark,"Tiene un propósito general y se encarga del procesamiento de programación de datos distribuidos es un framework diseñado para ser rápido. si bien como su nombre lo indica forma parte de los proyectos apache, el cual se sabe que trabaja bajo la licencia de open source.",book3,apache spark
componentes de spark,"Se ha dado a conocer en big data gracias a su rendimiento y su gran variedad de librerías, por lo cual se ha caracterizado como una de las plataformas más reconocida, siendo prácticamente un todo en uno.",book3,spark components
spark core,"Parte central de spark, conformado por el conjunto de librerías. este se encarga de gestionar las funciones, es decir, del hecho de programar las tareas.",book3,spark core
spark sql,"Está ubicado en la parte superior de la parte central de spark. en este módulo se procesan los datos que se encuentran estructurados y semiestructurados, introducidos por los datos llamados rdd o dataframes.",book3,spark sql
spark streaming,Es el procesamiento de los datos en tiempo real debido a la velocidad de la programación de la parte central de spark.,book3,spark streaming
spark mlib,"Está compuesto por el módulo de librerías, demasiado completa que en ella se contienen gran cantidad de algoritmos machine learnig, este framework de aprend izaje rápido permite hacerlo práctico y escalable.",book3,spark mlib
apache hbase,Es una base de datos no relacional distribuida. es un proyecto de código abierto que se construye en la parte superior de hdfs.,book3,apache hbase
marketing y ventas,"Las aplicaciones de big data en las empresas hablando particularmente en el área de marketing y con ayuda del análisis de correlación, big data permite predecir con una mayor precisión la manera en que sus consumidores se comportan, las técnicas util izadas para ello son la minería de datos, el aprendizaje automático y el procesamiento de lenguaje natural; permite a los departamentos de marketing segmentar a los clientes de acuerdo con sus preferencias [9].  como ejemplo se puede mencionar a spotify el cual ofrece servicio de música, podcast y videos digitales en streaming, permitiendo tener acceso a millones de canciones y del contenido de los artistas.",book3,marketing and sales
seguridad,"Todo aquel dispositivo que se encuentre conectado o almacenado en la red son vulnerables a los ataques. big data se encarga del acceso a los datos, la organización y elegir los datos de más valor entregándolos y procesándolos.",book3,security
deportes,"Tal vez surge la pregunta de cómo se relaciona big data con los deportes, es simple, existen aplicaciones que permiten definir las estrategias que se utilizaran en cada partido, prevenir futuras lesiones de los jugadores y así como también se puede llegar a conocer las preferencias de los aficionados.  la nfl es un ejemplo que emplean aplicaciones con ayuda de una plataforma, tiene una base de datos con gran cantidad de datos que manejan para la toma de decisiones, en el deporte americano la mentalidad permite adquirir",book3,sports
política,"Big data ha beneficiado a la comunicación política a través de la protección del comportamiento electoral, extracción, gu stos, preferencias, intereses de la audiencia con la finalidad de realizar programas políticos que satisfagan las necesidades, organización de campañas electorales, así como también la interacción de partidos políticos y la población que vota [21].",book3,policy
salud,"El big data es útil en esta área para gestionar de manera más administrada y eficiente todo lo relacionado con la salud, específicam ente en el campo de la medicina, el gran volumen de datos como los historiales médicos, las predicciones de los reingresos al hospital, las imágenes médicas, los datos de ensayos clínicos, así como el material genético. de manera exponencial han crecido.",book3,health
amplitud de un intervalo,"Conocido también como amplitud de clase, es la diferencia entre los dos extremos de un intervalo.",book4,amplitude of an interval
bondad de ajuste,Es un indicador que permite discernir acerca de qué tan buena es la ecuación obtenida.  para determinar la bondad de un ajuste se utilizan diferentes criterios en la regresión lineal.,book4,adjustment goodness
boxplot,(ver diagrama de caja).,book4,boxploot
cartogramas,Es un tipo de gráfico mediante el cual se muestra datos estadísticos sobre una base geográfica como mapas.,book4,cartograms
censo,Es una investigación estadística que consiste en el recuento de la totalidad de los elementos que componen la población por investigar. es necesario que se especifique el espacio y el tiempo al que se refiere el recuento.,book4,census
ciclo,(ver variaciones o fluctuaciones cíclicas).,book4,cycle
clase mediana,"En una tabla de datos agrupados, es la clase o intervalo al que pertenece el valor de la mediana.",book4,medium class
clase modal,"En una tabla de datos agrupados, es la clase o intervalo que tiene la mayor frecuencia.",book4,modal class
coeficiente de confianza,Se representa por (1-  ) y es la probabilidad de que la hipótesis nula ho no sea rechazada cuando de hecho es verdadera y debería ser aceptada.,book4,confidence coefficient
coeficiente de contingencia chi cuadrado,- es un número que mide el grado de asociación o dependencia de las clasificaciones en una tabla de contingencia (h x k).,book4,chi square contingency coefficient
coeficiente de curtosis,Es una medida de forma (ver curtosis).,book4,kurtosis coefficient
coeficiente de gini,(ver índice de concentración de gini).,book4,gini coefficient
combinaciones,"Consiste en tomar diferentes agrupaciones de r elementos de un total de n objetos sin importar el orden, y el número de combinaciones se obtiene mediante la siguiente fórmula",book4,combinations
componentes de una serie temporal,- los datos de un fenómeno se representan ordenados en el tiempo (ver series temporales) según el enfoque clásico una serie es el resultado de cuatro componente,book4,time series components
conglomerado,"Es una subpoblación que reúne características presentes en la población. los elementos que la componen poseen cierta característica que les hace ser propios de cierta cualidad o atributo, tal como lugar geográfico, grupo étnico, ideología, organización social, etc.",book4,conglomerate
correlograma,"Es un gráfico que permite apreciar las autocorrelaciones r 1 , r 2 ,. .",book4,correlogram
covarianza,Es una medida de la asociación lineal entre dos variables.,book4,covariance
cuartil,"Es una medida de posición no central o de localización. los cuartiles son los tres valores que dividen la distribución en cuatro partes iguales, es decir",book4,quartile
cuasivarianza,Es un valor que se obtiene de manera similar a la varianza pero dividiendo entre n-1 en lugar de n. la cuasivarianza cuantifica la dispersión o variabilidad de la muestra.,book4,quasi variance
cuestionario,Es el instrumento más utilizado para recolectar datos.,book4,questionnaire
curtosis,Es una medida de forma.  también se conoce como medida de apuntamiento mide si los valores de la distribución están más o menos concentrados alrededor de los valores medios de la muestra.,book4,kurtosis
curva de lorenz,"Es una gráfica de concentración acumulada de la distribución de la riqueza.  para elaborar una curva de lorenz, se anotan los porcentajes acumulados del ingreso contra los porcentajes acumulados de las familias clasificadas, de las de ingresos más bajos a las de ingresos más altos.",book4,lorenz curve
curva normal,"También denominada curva o campana de gauss, en honor al matemático alemán karl friedrich gauss.",book4,normal curve
dato,"Conocido también como información, es el valor de la variable asociada a un elemento de una población o una muestra.",book4,fact
dato cualitativo,"Es aquel que representa alguna característica de los elementos de una muestra o una población que presentan, atributos, actitudes o son opiniones.",book4,qualitative fact
dato cuantitativo,Es aquel dato numérico que representa aspectos de una muestra o una población que es medible o que se puede contar. (ver variable cualitativa).,book4,quantitative data
datos de panel,"Son aquellos datos que son una combinación de series de tiempo y datos de sección cruzada o corte transversal que se obtienen sobre un mismo conjunto de unidades de análisis (individuos, familias o empresas) en distintos periodos de tiempo. datos de sección cruzada o de corte transversal.",book4,panel data
decil,"Es una medida de localización o posición no central.  los deciles son los nueve puntos que dividen la distribución en diez puntos de forma tal que dentro de cada una, están incluidos el 10% de los datos.",book4,decile
deflactar,Es transformar valores expresados en precios corrientes (valor nominal) a valores en precios constantes (valor real).,book4,deflature
diagrama,"Es un dibujo o representación gráfica que sirve para representar un objeto, indicar la relación entre elementos o mostrar el valor de una magnitud.",book4,diagram
diagrama de barras,Es un gráfico utilizado para representar la distribución de frecuencias de una variable cualitativa y cuantitativa discreta.,book4,bar diagram
diagrama de cajas,Conocido también como boxplot.,book4,box diagram
diagrama de flujo,Es una representación gráfica de los pasos en un proceso.,book4,flow diagram
diagrama de pareto,"Es una forma especial de gráfico de barras verticales donde se organizan diversas clasificaciones de datos por orden descendente, de izquierda a derecha, por medio de barras sencillas después de haber reunido los datos para calificar las causas.",book4,pareto chart
diagrama de sectores,Es un gráfico utilizado para representar la distribución de frecuencias relativas de una variable cualitativa.,book4,sector diagram
diagrama en escalera,Es un gráfico utilizado para representar la distribución de frecuencias acumuladas de una variable discreta numérica.,book4,staircase diagram
encuesta,Es un método de recolección de datos.  es llevada a cabo generalmente a través de algún cuestionario que puede o no ser diligenciado por el encuestado y/o encuestador.,book4,survey
entrevista,"Es un método de recolección de datos. consiste en una serie de preguntas realizadas por el entrevistador, personalmente, a cada uno de los entrevistados.",book4,interview
error de muestreo,"Conocido también como error muestral, es la diferencia que existe entre el valor real (parámetro) obtenido con los valores de la población y el valor estimado en base a los valores de una muestra (estimación).",book4,sampling error
error tipo ii,"En la teoría de decisiones, es el error que se comete al aceptar la hipótesis nula h 0 cuando es falsa.",book4,type ii error
espacio muestral,"Es el conjunto de todos los resultados posibles de un experimento aleatorio. cada experimento aleatorio tiene definido su espacio muestral (es decir, un conjunto con todas las soluciones posibles).",book4,sample space
estacionaria,"Es la serie de datos cuyas propiedades estadísticas básicas como la media y la varianza permanecen constantes en el tiempo, es decir cuando la serie no presenta crecimiento o declinación es estacionaria.",book4,stationary
estimador,Es un estadístico empleado para estimar un parámetro.,book4,estimator
estimador insesgado,Es un tipo de estimador que posee la propiedad de que el promedio de las estimaciones efectuadas a partir de todas las muestras posibles de un determinado tamaño es igual al valor verdadero o valor poblacional. estratificación.,book4,insisted estimator
